task_id,robot_id,operator_id,task_type,start_datetime,end_datetime,duration_minutes,source_zone,destination_zone,product_sku,quantity_units,weight_kg,task_status,priority_level,error_occurred,error_code,completion_rate_pct,energy_consumed_kwh,shift,batch_id_ref
12292562,1604441,3240650,Transport,2024-02-15,2024-02-15 00:02:00,2,B,Shipping,SKU45369,39,1.31,Failed,4,0,0000,99.05,7.343,Morning,4571232
18959106,1408430,3361065,Transport,2025-03-05,2025-03-05 00:59:00,59,D,D,SKU88587,15,3.18,Failed,2,0,0000,96.01,2.046,Night,4052477
17279503,1358697,3465381,Pick,2023-05-29,2023-05-29 00:08:00,8,F,A,SKU39326,53,47.92,Failed,3,0,0000,98.73,0.737,Night,4972436
18761197,1305619,3415594,Place,2024-08-30,2024-08-30 00:22:00,22,C,A,SKU44830,70,20.64,Completed,4,1,5561,40.96,0.906,Night,4909108
14852102,1839199,3181544,Place,2024-09-30,2024-09-30 00:43:00,43,A,E,SKU84155,36,41.43,Completed,5,0,0000,97.79,2.073,Afternoon,4836776
13914782,1094436,3252941,Pick,2024-03-05,2024-03-05 00:09:00,9,D,F,SKU71710,44,14.06,Completed,5,0,0000,95.23,0.086,Night,4335664
16058469,1333676,3480575,Pick,2023-06-03,2023-06-03 00:01:00,1,C,E,SKU61333,28,4.79,Completed,5,0,0000,97.11,2.42,Night,4661731
16702462,1360635,3896359,Pick,2023-02-04,2023-02-04 00:01:00,1,B,D,SKU58283,52,9.12,Completed,3,0,0000,96.06,0.247,Night,4310414
10973448,1386368,3555325,Transport,2024-08-20,2024-08-20 00:14:00,14,C,D,SKU50193,79,26.54,Completed,3,0,0000,95.15,0.17,Afternoon,4341990
14871677,1871575,3127714,Pick,2023-12-15,2023-12-15 00:10:00,10,F,D,SKU98812,122,2.26,Completed,3,0,0000,97.48,1.879,Morning,4557530
14578855,1154527,3508907,Place,2024-09-19,2024-09-19 00:56:00,56,E,A,SKU57369,27,6.29,Completed,4,0,0000,95.02,1.263,Afternoon,4163925
19368563,1487576,3084287,Place,2023-01-29,2023-01-29 00:08:00,8,E,C,SKU20173,78,15.34,Completed,4,0,0000,99.81,0.241,Night,4679625
18160148,1506109,3308812,Place,2024-12-11,2024-12-11 00:04:00,4,A,A,SKU28947,52,1.76,Completed,4,0,0000,97.94,0.793,Morning,4475264
15614082,1274483,3331413,Pick,2024-11-10,2024-11-10 01:24:00,84,B,A,SKU78107,36,5.72,Cancelled,2,1,2362,67.25,0.442,Night,4846010
19808058,1088884,3443097,Place,2023-09-16,2023-09-16 00:01:00,1,D,E,SKU60527,55,13.27,Partial,5,0,0000,99.51,1.909,Night,4488708
11031381,1752925,3972796,Transport,2023-07-14,2023-07-14 01:51:00,111,C,E,SKU48240,50,17.04,Completed,4,0,0000,98.55,1.914,Afternoon,4383916
19212682,1199085,3268668,Place,2024-12-21,2024-12-21 00:34:00,34,A,B,SKU82414,66,14.58,Cancelled,4,1,9922,79.66,2.323,Night,4844811
14745724,1475161,3178681,Place,2024-12-21,2024-12-21 00:15:00,15,B,A,SKU14445,39,5.41,Completed,4,0,0000,95.91,1.168,Afternoon,4878086
18292146,1615315,3130203,Inspection,2024-10-08,2024-10-08 00:22:00,22,E,C,SKU85117,38,35.79,Completed,2,0,0000,99.5,0.868,Morning,4520346
13379233,1383652,3698742,Place,2024-12-02,2024-12-02 00:01:00,1,C,B,SKU99530,30,46.35,Completed,5,0,0000,97.58,0.197,Morning,4093125
12011310,1297712,3829690,Inspection,2023-03-22,2023-03-22 00:54:00,54,C,C,SKU75043,184,5.28,Completed,2,0,0000,97.84,0.857,Night,4290164
17917130,1117966,3043189,Pick,2024-08-09,2024-08-09 00:55:00,55,A,E,SKU72979,49,39.39,Completed,4,0,0000,95.94,3.557,Afternoon,4202731
17207932,1274097,3561636,Transport,2023-08-22,2023-08-22 00:24:00,24,A,D,SKU21479,107,22.29,Completed,4,0,0000,96.51,0.218,Night,4352161
19172355,1384066,3897876,Place,2025-02-17,2025-02-17 00:07:00,7,A,C,SKU74348,95,25.99,Completed,4,0,0000,98.59,2.531,Afternoon,4640053
19310198,1417786,3355913,Place,2024-12-19,2024-12-19 00:22:00,22,D,C,SKU93662,46,5.37,Failed,3,0,0000,99.18,1.553,Afternoon,4973692
18423824,1443178,3668063,Inspection,2023-04-23,2023-04-23 00:03:00,3,B,C,SKU77756,40,33.32,Completed,4,0,0000,95.16,1.806,Afternoon,4883711
15980512,1384066,3777149,Place,2024-10-17,2024-10-17 00:18:00,18,B,F,SKU77780,70,61.44,Completed,4,0,0000,98.27,0.754,Afternoon,4429769
12305593,1892635,3695168,Pick,2025-04-08,2025-04-08 01:51:00,111,A,B,SKU58403,72,2.7,Partial,4,0,0000,97.88,2.216,Morning,4490736
14285328,1434997,3417480,Pick,2023-01-02,2023-01-02 00:15:00,15,B,D,SKU34582,119,21.58,Completed,2,0,0000,99.31,3.078,Morning,4004604
18186051,1698917,3795371,Replenishment,2023-02-17,2023-02-17 00:21:00,21,B,B,SKU20974,25,0.5,Completed,1,0,0000,97.17,2.183,Morning,4065428
17907429,1610094,3358324,Transport,2024-11-13,2024-11-13 00:06:00,6,B,C,SKU77574,20,11.94,Completed,4,0,0000,98.79,0.585,Morning,4055439
10712148,1394739,3706287,Pick,2023-11-20,2023-11-20 00:34:00,34,A,E,SKU26005,39,41.55,Completed,3,0,0000,98.66,3.057,Afternoon,4016725
18517292,1111250,3423214,Transport,2023-11-06,2023-11-06 00:19:00,19,D,C,SKU36312,42,5.06,Completed,2,0,0000,98.83,0.336,Morning,4428195
13171335,1499237,3912133,Transport,2023-07-02,2023-07-02 00:08:00,8,A,B,SKU83747,77,14.58,Completed,4,1,1913,19.11,0.698,Night,4220478
10977089,1019415,3777467,Transport,2023-09-22,2023-09-22 00:29:00,29,C,B,SKU80017,46,33.74,Completed,4,0,0000,99.21,0.765,Night,4011497
11994663,1571554,3397625,Pick,2023-02-24,2023-02-24 00:43:00,43,C,D,SKU70626,56,24.3,Completed,3,0,0000,95.25,0.153,Morning,4931365
17216403,1125786,3671477,Transport,2023-06-30,2023-06-30 00:26:00,26,E,F,SKU45188,96,3.89,Completed,3,0,0000,97.31,0.21,Morning,4333102
17026142,1128964,3922317,Pick,2025-03-16,2025-03-16 00:05:00,5,B,C,SKU94315,37,27.96,Completed,3,0,0000,95.17,0.308,Morning,4121603
16616444,1920235,3238848,Replenishment,2023-05-06,2023-05-06 00:17:00,17,A,A,SKU60407,34,23.41,Cancelled,4,0,0000,97.79,0.099,Afternoon,4989793
18429741,1727454,3383213,Replenishment,2024-04-07,2024-04-07 00:40:00,40,B,A,SKU22678,83,5.16,Completed,4,0,0000,95.4,0.611,Morning,4381722
10683061,1221219,3427200,Transport,2023-08-01,2023-08-01 00:22:00,22,B,F,SKU64218,44,34.79,Completed,1,0,0000,95.32,4.364,Night,4674542
13577983,1035032,3040755,Replenishment,2024-05-10,2024-05-10 00:47:00,47,A,C,SKU46257,80,41.53,Failed,4,0,0000,97.42,2.519,Morning,4253752
10795563,1853172,3813375,Place,2024-04-16,2024-04-16 00:15:00,15,F,D,SKU79902,36,12.19,Cancelled,4,0,0000,97.11,3.277,Morning,4207223
19956666,1892022,3446946,Pick,2024-11-21,2024-11-21 00:03:00,3,D,A,SKU92412,26,18.71,Completed,3,0,0000,97.78,1.914,Night,4377061
15471324,1240187,3785477,Transport,2024-08-24,2024-08-24 00:07:00,7,C,C,SKU47710,53,8.97,Completed,5,0,0000,97.18,1.911,Morning,4313838
12505218,1096436,3073384,Pick,2024-08-22,2024-08-22 00:05:00,5,A,C,SKU98280,63,7.05,Completed,3,0,0000,96.93,0.183,Night,4307339
11864098,1353245,3085108,Pick,2024-06-07,2024-06-07 00:37:00,37,C,E,SKU86015,37,2.84,In-Progress,3,0,0000,96.62,1.818,Afternoon,4340036
12605885,1727746,3075589,Replenishment,2024-05-21,2024-05-21 00:24:00,24,A,F,SKU16577,91,39.59,In-Progress,3,0,0000,96.38,1.246,Afternoon,4889868
17506186,1864828,3839535,Pick,2025-04-13,2025-04-13 01:35:00,95,B,B,SKU32402,117,8.3,Completed,4,0,0000,96.13,0.712,Night,4844220
11773285,1837796,7236078,Inspection,2023-09-15,2023-09-15 00:40:00,40,D,C,SKU55652,148,6.89,Completed,3,0,0000,95.51,1.302,Morning,4378423
13529180,1243192,3070463,Place,2023-08-19,2023-08-19 00:15:00,15,Staging,C,SKU64579,84,4.03,Partial,4,0,0000,96.58,0.379,Morning,4351766
17056442,1872155,3649327,Transport,2023-11-15,2023-11-15 00:03:00,3,B,A,SKU62688,94,4.95,Completed,2,0,0000,97.41,1.164,Morning,4509179
18896291,1340736,3220156,Pick,2023-07-07,2023-07-07 00:02:00,2,D,B,SKU20004,68,38.33,Completed,3,0,0000,99.42,0.263,Morning,4940074
17675071,1675476,3530254,Pick,2025-02-25,2025-02-25 00:19:00,19,B,C,SKU71436,21,16.18,In-Progress,5,0,0000,96.06,0.822,Night,4548141
13090661,1076160,3224647,Pick,2024-10-07,2024-10-07 00:49:00,49,B,A,SKU75432,19,37.66,Completed,1,0,0000,97.36,2.259,Night,4471582
16188420,1007535,3576431,Replenishment,2025-02-24,2025-02-24 01:17:00,77,B,D,SKU83316,67,49.38,Completed,2,1,8076,9.15,0.293,Night,4016204
13144297,1688454,3777645,Transport,2023-03-29,2023-03-29 00:08:00,8,A,E,SKU46979,28,8.18,Partial,3,0,0000,96.86,1.032,Morning,4205975
13468301,1461539,3086620,Transport,2023-06-18,2023-06-18 00:22:00,22,B,C,SKU82591,68,12.8,Completed,2,0,0000,99.76,1.159,Morning,4322458
15006812,1774466,3013132,Place,2024-12-14,2024-12-14 00:07:00,7,D,A,SKU58145,26,5.86,Completed,3,0,0000,96.15,2.425,Night,4624225
16538784,1406379,3569053,Pick,2024-04-23,2024-04-23 00:03:00,3,C,E,SKU14880,28,6.49,Cancelled,4,0,0000,98.75,0.063,Night,4747735
17430042,1870017,3511193,Transport,2024-06-01,2024-06-01 00:08:00,8,B,E,SKU62021,108,4.6,Partial,3,1,2403,33.66,0.735,Morning,4694904
10234868,1055865,3605497,Pick,2025-02-03,2025-02-03 00:01:00,1,B,A,SKU63393,28,8.22,Completed,3,0,0000,95.13,0.238,Afternoon,4771121
11965097,1195410,3850685,Transport,2023-09-10,2023-09-10 00:46:00,46,B,D,SKU55362,40,93.74,Failed,2,0,0000,96.92,3.593,Morning,4674574
14411403,1978469,3570082,Transport,2023-06-02,2023-06-02 00:08:00,8,D,C,SKU25940,35,11.16,Completed,3,0,0000,97.97,2.52,Afternoon,4615802
13962946,1233554,3213023,Charging,2024-03-28,2024-03-28 00:21:00,21,F,B,SKU31097,45,9.1,Completed,2,0,0000,98.52,3.344,Morning,4947043
15669374,1911639,3133355,Inspection,2024-11-24,2024-11-24 00:03:00,3,B,B,SKU69417,24,42.43,Completed,5,0,0000,96.52,1.037,Night,4005278
16291775,1940025,3875326,Charging,2023-04-01,2023-04-01 00:25:00,25,C,E,SKU58167,29,13.75,Completed,4,0,0000,98.52,0.263,Afternoon,4057650
16713710,1548825,3851319,Pick,2023-09-16,2023-09-16 00:31:00,31,D,C,SKU27377,88,9.3,Completed,1,0,0000,99.75,0.01,Night,4594281
14474318,1056425,3357065,Pick,2023-10-04,2023-10-04 00:39:00,39,B,D,SKU51337,62,9.31,Completed,4,0,0000,99.89,0.233,Night,4224901
16974543,1322011,3877158,Pick,2023-05-24,2023-05-24 00:39:00,39,A,D,SKU72783,65,54.01,Completed,1,0,0000,96.02,0.164,Morning,4568517
15788960,1818915,3653706,Transport,2023-12-05,2023-12-05 00:51:00,51,A,C,SKU62010,12,5.79,Completed,4,0,0000,96.05,2.22,Afternoon,4940155
15898889,1999877,3105988,Inspection,2023-05-23,2023-05-23 00:21:00,21,A,A,SKU11802,36,7.88,Completed,3,0,0000,98.07,0.456,Night,4602081
12851776,1310409,3446762,Replenishment,2024-04-01,2024-04-01 00:14:00,14,D,B,SKU45993,67,21.84,Completed,3,0,0000,97.13,0.744,Morning,4076453
13639411,1166876,3580053,Transport,2025-04-18,2025-04-18 00:56:00,56,A,A,SKU70208,46,0.5,Completed,4,0,0000,97.43,0.475,Morning,4565058
11452750,1268240,3727418,Pick,2023-04-08,2023-04-08 00:03:00,3,A,A,SKU16939,16,49.31,Completed,3,0,0000,98.41,0.128,Afternoon,4371690
17982135,1148852,3797662,Inspection,2025-04-08,2025-04-08 00:09:00,9,A,Shipping,SKU80430,41,0.56,Completed,3,1,2649,79.77,2.848,Night,4532065
15685817,1960311,7246533,Replenishment,2023-12-22,2023-12-22 00:08:00,8,B,E,SKU24708,111,0.97,Failed,5,0,0000,98.95,0.513,Afternoon,4711897
14545500,1512975,3575570,Inspection,2023-11-13,2023-11-13 00:14:00,14,C,Shipping,SKU38106,31,1.78,Completed,3,0,0000,99.22,0.012,Morning,4073143
16061732,1653426,3250872,Pick,2023-07-29,2023-07-29 00:40:00,40,F,B,SKU57020,22,50.72,Cancelled,4,0,0000,95.71,0.15,Morning,4531678
10149851,1314007,3473833,Pick,2024-09-25,2024-09-25 00:28:00,28,A,C,SKU91235,68,14.62,Completed,2,0,0000,98.22,2.495,Morning,4809149
18666629,1937429,3698121,Pick,2024-08-10,2024-08-10 00:43:00,43,A,A,SKU26696,23,23.3,Completed,3,0,0000,96.8,0.1,Afternoon,4573215
17321413,1601264,3533416,Replenishment,2023-03-24,2023-03-24 00:33:00,33,C,A,SKU81570,58,14.84,Partial,4,0,0000,99.47,0.956,Afternoon,4834883
11985402,1278387,3235332,Inspection,2024-10-27,2024-10-27 00:22:00,22,A,D,SKU91545,18,10.07,Completed,3,0,0000,95.31,1.887,Morning,4855085
18816681,1393207,3357238,Transport,2023-10-25,2023-10-25 00:12:00,12,C,A,SKU68021,19,24.63,Completed,3,0,0000,98.3,0.563,Night,4876493
15399921,1221967,3229360,Place,2025-03-31,2025-03-31 00:18:00,18,A,B,SKU43619,171,0.5,Completed,4,0,0000,97.92,0.01,Afternoon,4609714
10664384,1123460,3380400,Place,2024-05-07,2024-05-07 00:24:00,24,F,B,SKU42228,134,5.38,Completed,4,0,0000,99.34,4.152,Morning,4122679
13241998,1121022,3427456,Charging,2025-04-06,2025-04-06 00:02:00,2,A,A,SKU12759,76,14.77,Completed,3,1,8490,78.47,0.207,Morning,4599395
10009126,1826632,3504966,Transport,2023-09-07,2023-09-07 00:05:00,5,A,D,SKU75566,50,21.6,Partial,3,0,0000,95.44,1.686,Afternoon,4385834
12196708,1288635,3739775,Replenishment,2023-02-13,2023-02-13 00:01:00,1,Staging,E,SKU30358,52,5.29,Failed,3,0,0000,95.28,0.581,Afternoon,4681768
13492109,1756970,3935569,Replenishment,2023-08-21,2023-08-21 00:23:00,23,C,Shipping,SKU78511,109,45.95,Failed,2,0,0000,98.58,0.431,Afternoon,4853364
17982103,1929310,3764551,Pick,2023-05-07,2023-05-07 00:08:00,8,B,C,SKU12428,91,30.24,Completed,3,0,0000,99.31,0.124,Afternoon,4643031
15653137,1762567,3779076,Replenishment,2025-03-09,2025-03-09 00:12:00,12,A,D,SKU40790,55,14.11,In-Progress,4,0,0000,97.84,1.583,Afternoon,4592436
19104173,1638302,3333289,Inspection,2023-09-27,2023-09-27 00:36:00,36,D,F,SKU49492,72,8.71,Completed,3,0,0000,97.35,0.166,Afternoon,4855279
13928272,1198853,3131186,Pick,2025-04-16,2025-04-16 00:01:00,1,E,A,SKU76980,21,36.73,Completed,2,0,0000,95.4,8.366,Morning,4594370
17704633,1874854,3977747,Transport,2023-07-15,2023-07-15 01:25:00,85,D,B,SKU53213,153,1.22,Completed,4,0,0000,99.72,0.354,Afternoon,4308957
17366718,1040630,3270618,Charging,2023-08-20,2023-08-20 00:03:00,3,B,C,SKU71427,23,11.22,Failed,3,0,0000,96.24,0.345,Afternoon,4946834
12058125,1714934,3969664,Transport,2024-01-14,2024-01-14 00:13:00,13,D,E,SKU76081,88,34.03,Cancelled,3,0,0000,99.53,0.922,Night,4152613
10865287,1764126,3092371,Maintenance,2024-07-04,2024-07-04 00:28:00,28,A,B,SKU56187,55,9.66,Completed,5,0,0000,95.15,3.16,Afternoon,4721779
14462988,1722348,3874918,Place,2024-03-07,2024-03-07 00:14:00,14,A,F,SKU99140,62,9.37,Completed,4,0,0000,97.9,1.002,Afternoon,4429854
12224168,1490877,3724548,Maintenance,2024-09-14,2024-09-14 00:15:00,15,A,A,SKU83908,86,16.41,Completed,3,0,0000,96.65,0.496,Afternoon,4209001
15653156,1007150,3516009,Transport,2023-02-14,2023-02-14 00:54:00,54,D,C,SKU70341,43,30.8,Completed,3,0,0000,97.02,1.024,Morning,4917878
10925001,1003821,3253189,Pick,2024-12-11,2024-12-11 00:22:00,22,C,C,SKU10748,126,17.5,Completed,4,0,0000,98.95,2.757,Afternoon,4830591
19256460,1762515,3488433,Place,2025-01-30,2025-01-30 00:41:00,41,A,C,SKU58252,19,11.04,Completed,3,1,5382,12.14,3.048,Night,4582935
11467892,1110783,3744779,Transport,2024-06-12,2024-06-12 00:30:00,30,D,D,SKU73199,52,8.62,Cancelled,5,0,0000,99.28,1.728,Afternoon,4719308
19151274,1735354,3132159,Pick,2023-05-26,2023-05-26 00:29:00,29,B,E,SKU42955,45,73.69,Completed,2,0,0000,97.49,2.368,Afternoon,4353791
11708806,1128651,3205938,Place,2024-08-30,2024-08-30 00:18:00,18,B,C,SKU72571,112,9.96,Cancelled,3,0,0000,96.29,0.782,Morning,4547749
16523292,1696230,3168120,Pick,2024-04-06,2024-04-06 00:01:00,1,A,B,SKU62204,49,48.34,Completed,2,0,0000,99.74,0.592,Afternoon,4867205
16623536,1267417,3136845,Transport,2023-01-19,2023-01-19 00:44:00,44,B,B,SKU12090,91,1.57,Failed,3,0,0000,99.36,1.795,Night,4615618
19307270,1030174,3475176,Transport,2024-06-20,2024-06-20 00:27:00,27,C,D,SKU19347,23,39.31,Completed,3,0,0000,99.54,1.3,Afternoon,4048673
12189916,1094348,3299069,Transport,2024-03-02,2024-03-02 00:28:00,28,E,D,SKU86130,44,28.89,Completed,2,0,0000,98.55,2.801,Morning,4054918
10608426,1030174,3472264,Pick,2025-04-29,2025-04-29 00:27:00,27,E,E,SKU37419,37,75.46,Completed,3,0,0000,96.2,0.192,Morning,4767058
12882380,1986728,3376672,Transport,2024-04-20,2024-04-20 01:05:00,65,D,B,SKU58916,70,7.38,Completed,2,0,0000,95.75,2.571,Afternoon,4787540
19748657,1258533,3563181,Place,2024-07-26,2024-07-26 00:01:00,1,A,F,SKU44581,61,6.99,Completed,4,0,0000,99.96,0.455,Night,4985533
10833275,1231025,3685935,Replenishment,2023-05-22,2023-05-22 00:01:00,1,A,Shipping,SKU62683,57,3.0,Completed,2,0,0000,96.29,1.801,Night,4506512
12536614,1063006,3435298,Replenishment,2024-05-14,2024-05-14 00:16:00,16,D,F,SKU65314,111,64.39,Completed,4,0,0000,99.91,0.355,Night,4164344
19194284,1662218,3343322,Transport,2024-07-03,2024-07-03 00:27:00,27,D,F,SKU63043,35,3.16,Completed,4,0,0000,95.82,0.73,Morning,4971713
13790596,1322242,3801654,Pick,2024-10-07,2024-10-07 00:33:00,33,B,D,SKU75415,70,24.9,Completed,1,0,0000,95.97,1.168,Morning,4775258
10330570,1432528,3883122,Pick,2023-01-15,2023-01-15 00:03:00,3,D,A,SKU93131,68,9.03,Completed,4,0,0000,97.42,0.23,Morning,4052348
17999692,1139660,3559011,Inspection,2024-04-25,2024-04-25 00:10:00,10,A,A,SKU87866,36,18.67,Completed,3,0,0000,95.91,0.363,Night,4735514
16326474,1389366,3815415,Maintenance,2024-03-08,2024-03-08 00:05:00,5,C,C,SKU47821,60,2.23,Completed,3,0,0000,95.22,2.859,Night,4755618
18463345,1623753,3126120,Place,2024-01-17,2024-01-17 00:18:00,18,A,B,SKU49687,33,5.06,Failed,4,1,9221,36.11,0.4,Afternoon,4972263
13705250,1685252,3168475,Transport,2023-06-27,2023-06-27 00:19:00,19,A,F,SKU95157,46,17.75,Failed,5,1,4952,45.04,1.966,Morning,4517092
17861621,1750735,3422695,Pick,2024-01-24,2024-01-24 00:57:00,57,B,C,SKU92095,92,2.02,Completed,3,0,0000,97.83,1.033,Morning,4588754
12842987,1415592,3373734,Pick,2023-12-13,2023-12-13 00:06:00,6,F,B,SKU32731,33,22.78,Completed,2,0,0000,98.37,0.255,Afternoon,4959074
16179130,1346914,3108839,Pick,2023-06-08,2023-06-08 00:01:00,1,A,D,SKU36529,15,37.13,Completed,3,1,3692,70.4,0.386,Night,4132268
12876696,1377203,3781876,Replenishment,2025-02-18,2025-02-18 00:36:00,36,B,B,SKU98493,110,15.41,Completed,5,0,0000,95.81,0.066,Night,4873297
11883627,1735051,3839315,Transport,2023-09-01,2023-09-01 00:03:00,3,A,E,SKU57264,77,4.25,Completed,4,0,0000,98.62,2.412,Night,4012938
19519467,1531860,3852527,Transport,2025-03-13,2025-03-13 00:29:00,29,A,A,SKU72383,42,12.14,Completed,2,0,0000,95.59,2.68,Night,4266018
15544652,1014170,3747739,Pick,2023-07-22,2023-07-22 00:04:00,4,B,D,SKU51253,46,11.61,Partial,1,0,0000,98.57,0.185,Night,4899168
16931777,1295887,3030229,Place,2025-01-02,2025-01-02 01:00:00,60,A,E,SKU28039,55,11.01,Completed,3,0,0000,99.2,0.646,Morning,4852778
11938632,1378063,3119029,Transport,2023-06-24,2023-06-24 00:11:00,11,C,D,SKU31217,7,19.02,Completed,1,0,0000,98.52,0.649,Afternoon,4872115
11506125,1498187,3747894,Replenishment,2024-03-26,2024-03-26 00:14:00,14,B,C,SKU12370,52,26.25,Completed,3,0,0000,95.31,1.329,Morning,4019673
11072375,1690079,3787690,Replenishment,2025-03-06,2025-03-06 00:12:00,12,B,E,SKU98694,52,35.07,Completed,2,0,0000,98.52,0.088,Night,4395216
15377058,1984406,3372055,Place,2023-04-09,2023-04-09 00:19:00,19,B,A,SKU70974,37,28.97,Completed,3,0,0000,96.25,2.389,Morning,4812181
12947099,1838514,3026196,Transport,2024-10-25,2024-10-25 01:23:00,83,B,B,SKU75700,106,1.73,Completed,3,1,5935,37.67,4.96,Morning,4696084
10316989,1518924,3295541,Transport,2023-03-05,2023-03-05 00:01:00,1,B,A,SKU72093,85,28.88,Completed,3,0,0000,97.51,2.194,Morning,4611539
14344640,1792036,3815183,Transport,2024-11-22,2024-11-22 00:09:00,9,A,A,SKU63856,63,0.5,Completed,3,0,0000,97.15,1.435,Morning,4445394
17361206,1661071,3791705,Pick,2024-06-13,2024-06-13 00:25:00,25,F,C,SKU69356,127,3.08,Completed,3,0,0000,97.18,0.076,Afternoon,4302049
12322077,1631652,3634877,Pick,2024-06-15,2024-06-15 00:36:00,36,D,B,SKU11213,73,11.25,Completed,3,0,0000,98.87,2.344,Night,4808764
18798456,1079511,3442153,Transport,2024-11-13,2024-11-13 00:05:00,5,C,A,SKU30924,102,58.8,Completed,3,0,0000,98.52,2.336,Afternoon,4216339
15401277,1203872,3193135,Place,2023-03-13,2023-03-13 00:10:00,10,C,B,SKU72717,60,15.79,Completed,4,1,7907,85.33,0.043,Night,4663670
10917656,1552607,3681642,Pick,2023-12-31,2023-12-31 00:09:00,9,D,B,SKU55038,27,9.4,Completed,5,0,0000,98.91,1.29,Night,4895901
15847023,1959284,3561803,Pick,2024-01-06,2024-01-06 00:22:00,22,A,A,SKU22001,67,84.66,Completed,5,0,0000,99.99,1.715,Night,4856994
12200256,1300787,3483971,Place,2025-01-01,2025-01-01 00:22:00,22,B,B,SKU73696,42,0.65,Completed,3,0,0000,99.46,1.636,Morning,4277438
15309598,1187023,3355700,Replenishment,2023-10-05,2023-10-05 00:04:00,4,B,B,SKU65771,7,25.51,Completed,3,0,0000,98.68,0.463,Night,4314990
14161799,1022832,3810631,Transport,2023-08-28,2023-08-28 00:26:00,26,D,B,SKU86936,39,19.72,Completed,5,1,6376,44.38,0.202,Night,4426957
15260981,1043274,7545263,Replenishment,2025-01-20,2025-01-20 00:38:00,38,C,C,SKU58435,69,5.47,Completed,3,0,0000,97.82,2.453,Night,4492880
13511017,1906112,3453545,Transport,2024-12-23,2024-12-23 00:18:00,18,B,E,SKU40614,111,3.16,Completed,2,0,0000,95.95,1.735,Morning,4387730
12126550,1191431,3757519,Replenishment,2023-10-18,2023-10-18 00:06:00,6,B,C,SKU70498,117,82.11,Completed,4,0,0000,96.63,1.976,Afternoon,4261128
10516865,1153600,3952013,Pick,2023-10-08,2023-10-08 00:02:00,2,F,E,SKU60325,80,17.01,Completed,3,1,4286,62.68,1.958,Night,4564550
12350333,1853156,3312952,Transport,2023-05-20,2023-05-20 00:02:00,2,C,B,SKU39882,107,48.46,Completed,2,0,0000,95.8,0.17,Morning,4732997
12263218,1201932,3292528,Replenishment,2024-03-31,2024-03-31 00:33:00,33,B,D,SKU80890,23,1.8,Completed,3,1,5485,49.11,0.717,Morning,4850221
