shipment_id,route_id,order_id,shipment_date,scheduled_delivery_date,actual_delivery_date,product_id,quantity_units,weight_kg,volume_m3,temperature_min_c,temperature_max_c,tracking_number,customs_cleared,customs_clearance_date,total_cost_usd,insurance_value_usd,delivery_status,delay_reason,customer_satisfaction_score
48614789,7475974,2018866,2024-11-17,2024-11-23,2024-11-26,1716770,290,369.43,0.194,2,25,261927900687,0,,350.71,1369.82,Delivered,Traffic,4.3
47095033,7064910,2439010,2024-06-18,2024-06-28,2024-07-01,1239585,148,852.59,0.471,15,8,598595450369,0,,113.71,5027.65,Delivered,None,3.9
44510535,7295173,2702336,2024-02-01,2024-02-04,2024-02-04,1448020,124,150.37,1.263,2,8,280204129771,0,,385.24,1296.6,Delivered,Traffic,3.5
40628042,7536763,2102305,2022-10-17,2022-10-24,2022-10-24,1529656,159,17.67,1.52,15,20,849330705273,0,,165.97,4190.88,Delivered,None,4.0
46781714,7081970,2306627,2024-11-26,2024-11-28,2024-11-28,1685163,264,20.35,2.27,15,25,565745656850,1,2024-08-28,915.47,159.56,Delivered,None,4.3
40616484,7043892,2534961,2023-03-12,2023-03-25,2023-03-26,1079550,271,11.54,0.868,10,25,203877582311,0,,1319.38,361.13,Delivered,None,4.5
45076429,7211472,9987220,2022-08-14,2022-08-23,2022-08-26,1967098,273,631.64,3.999,10,30,558023406135,0,,1098.74,152.95,Delivered,Traffic,4.0
41667379,7335388,2394953,2024-08-27,2024-09-07,2024-09-10,1892018,157,259.92,1.123,15,8,626516512887,0,,483.61,2853.43,Delivered,None,3.1
47359233,7458857,2823621,2023-01-28,2023-02-06,2023-02-08,1304903,163,33.06,1.778,2,30,991938078995,0,,180.46,1987.22,Delivered,Address Error,4.3
42696796,7507948,2598846,2024-03-14,2024-03-23,2024-03-26,1304092,376,29.92,0.969,2,8,538116397096,0,,326.12,8309.83,In-Transit,None,4.2
45248745,7019469,2047534,2023-06-29,2023-07-02,2023-07-03,1041690,280,555.17,0.371,15,30,168985532299,0,,37.09,200.19,Delivered,Weather,3.5
45904263,7850088,2869023,2024-02-23,2024-02-26,2024-02-28,1562838,207,47.83,0.344,10,30,909280479802,0,,456.11,829.57,Delivered,None,2.6
44691227,7831847,2381874,2024-02-08,2024-02-14,2024-02-17,1561576,280,77.89,1.554,18,30,442915454359,0,,20.0,4000.78,Delivered,None,
40387218,7369254,2494163,2025-02-14,2025-02-16,2025-02-17,1314577,307,232.43,0.852,15,20,703318349037,1,2023-08-02,408.01,1903.2,Delivered,None,
40500712,7902736,2608408,2022-09-11,2022-09-22,2022-09-22,1967159,118,752.57,0.556,2,8,373161224300,1,2024-02-10,767.49,925.28,Delayed,Traffic,3.8
45329758,7104330,2114752,2023-01-01,2023-01-09,2023-01-10,1157624,299,170.89,0.05,2,20,181737438061,0,,55.54,319.98,Delivered,None,3.1
43052532,7984657,2071843,2023-10-08,2023-10-16,2023-10-21,1187185,165,121.85,0.469,10,30,539157912593,0,,36.04,373.1,Delivered,None,
47445211,7621953,2405723,2024-09-26,2024-10-09,2024-10-10,1004076,208,173.72,0.724,18,8,933771456433,0,,837.8,1781.34,Delivered,None,
45446682,7747859,2603281,2023-11-17,2023-11-26,2023-11-27,1911613,137,76.45,1.023,15,20,275487691145,0,,1300.38,1497.96,Delivered,Weather,3.4
41669439,7740014,2305331,2023-10-06,2023-10-16,2023-10-17,1826927,263,668.83,2.956,15,25,337866152172,0,,980.93,97.97,Delivered,None,3.7
40497283,7562080,2564768,2024-10-05,2024-10-18,2024-10-20,1612965,507,152.36,0.331,10,20,417276722506,0,,122.95,887.63,In-Transit,None,4.2
48990835,7430954,2159954,2024-12-23,2024-12-24,2024-12-27,1607246,276,570.09,4.232,2,8,410694293161,0,,1501.16,1448.13,Delivered,Traffic,3.5
47368613,7600510,2737789,2022-10-20,2022-10-29,2022-10-31,1736967,96,1033.3,0.361,2,25,437687707951,0,,150.89,2735.81,Delivered,None,4.4
49574720,7916818,2486721,2022-06-20,2022-06-29,2022-06-29,1813183,203,149.01,1.133,2,8,855682032789,1,2023-12-09,533.44,559.17,Delivered,None,
43855969,7860580,2914966,2024-01-01,2024-01-02,2024-01-04,1519694,195,709.48,1.573,15,30,541706959232,1,2022-12-30,262.44,2034.93,Delivered,None,
42810722,7994580,2802702,2024-05-25,2024-05-30,2024-05-30,1014842,428,362.17,1.075,15,8,238318163758,0,,126.93,710.2,Delivered,None,4.6
40944996,7321484,2141983,2023-07-22,2023-07-28,2023-07-28,1523267,358,251.88,0.05,10,25,247571646650,1,2023-07-11,745.31,530.34,Delivered,None,4.8
46108211,7562034,2458519,2024-02-09,2024-02-16,2024-02-17,1540805,490,5.41,0.729,18,20,880219339247,0,,675.45,2938.58,Failed,None,
46034507,7978899,2229085,2023-08-18,2023-08-27,2023-08-30,1008383,169,158.18,0.393,10,20,885633020342,1,2024-05-30,309.05,771.27,Delivered,Weather,4.1
42775173,7279546,2972077,2025-01-04,2025-01-09,2025-01-10,1599109,158,238.61,0.113,18,30,713759391767,0,,140.98,307.3,Delivered,None,4.3
45759709,7311613,2247341,2024-02-06,2024-02-13,2024-02-14,1703428,537,251.24,0.056,15,20,734460838384,0,,709.99,2269.02,Delivered,None,
48992448,7545142,9945755,2022-10-14,2022-10-20,2022-10-20,1486794,361,259.96,0.387,18,30,923443492497,0,,527.89,3713.63,Delivered,Address Error,3.9
46806459,7403828,2459997,2022-12-04,2022-12-11,2022-12-11,1127070,607,866.58,0.524,15,25,397460912337,0,,20.0,1077.01,Delivered,None,
48216484,7531967,2785859,2025-02-18,2025-02-22,2025-02-23,1611368,422,244.17,1.684,2,25,835658086491,0,,397.98,9150.46,Delivered,Capacity,4.0
40745956,7934036,2537922,2023-12-08,2023-12-18,2023-12-20,1342298,156,739.87,0.327,2,8,415909394212,0,,598.35,574.3,Delivered,Traffic,
47088068,7540972,2320449,2024-10-13,2024-10-22,2024-10-22,1749631,151,181.95,0.315,10,8,983607368617,0,,185.02,237.81,Delivered,None,
48388875,7298242,2201727,2023-03-11,2023-03-15,2023-03-16,1297484,88,74.6,1.629,18,20,252435184918,0,,2557.93,545.69,In-Transit,None,
42347273,7743564,2977221,2023-02-19,2023-02-23,2023-02-25,1834571,160,102.77,1.522,10,8,657789218846,0,,815.2,3785.86,Delivered,None,4.2
45498953,7821340,2143196,2023-08-27,2023-09-07,2023-09-08,1402792,223,727.89,1.156,2,25,924248608926,0,,265.95,908.61,Delivered,None,3.8
44263780,7638172,2035331,2023-05-14,2023-05-26,2023-05-28,1309367,189,44.73,0.183,15,8,951112051388,0,,424.81,844.76,Delivered,None,4.1
45535030,7002175,2297734,2023-11-16,2023-11-22,2023-11-24,1913241,227,616.08,0.393,15,20,619400358784,0,,848.69,1276.39,Returned,Weather,
48294719,7248838,2050651,2023-06-16,2023-06-20,2023-06-23,1167854,215,62.98,0.316,18,20,740999858356,1,2024-09-07,37.88,599.89,Delivered,Weather,4.7
47867416,7448830,2001970,2024-03-26,2024-04-07,2024-04-07,1119864,252,265.26,0.975,15,25,917688237542,0,,630.27,511.12,Delivered,None,3.6
42078053,7575397,2285609,2022-07-05,2022-07-14,2022-07-15,1013706,133,1.0,0.615,18,25,202081144958,1,2024-04-22,108.07,3538.14,Delivered,None,4.5
45911331,7911239,2737464,2025-03-29,2025-04-08,2025-04-10,1472345,368,273.12,0.884,2,30,717313181089,0,,239.55,4297.24,Delivered,None,3.4
48403466,7722792,2005081,2024-08-08,2024-08-17,2024-08-19,1219412,339,18.77,0.48,10,20,538661054069,0,,1344.92,2846.76,Failed,None,3.4
42878508,7858157,9962938,2025-02-21,2025-03-05,2025-03-06,1964776,104,211.65,0.374,2,20,839140229937,0,,380.03,2091.35,In-Transit,None,2.8
44217468,7238075,2708395,2022-08-24,2022-08-31,2022-09-07,1452928,267,815.97,1.605,18,30,126401122543,0,,286.04,956.15,Delivered,None,3.3
42152633,7272513,2462107,2024-01-29,2024-02-07,2024-02-07,1179555,98,561.16,3.304,10,8,588751533479,1,2024-01-23,33.78,653.14,Delivered,None,
40190925,7223076,2770295,2023-02-11,2023-02-12,2023-02-12,1565967,180,75.22,1.656,15,20,414752943679,0,,206.17,3803.52,Delivered,None,3.1
45719415,7030591,2339508,2023-05-22,2023-05-31,2023-06-02,1149154,146,78.4,0.77,15,8,432014767863,0,,141.96,1064.28,Delivered,None,4.6
48171934,7887887,2251937,2023-03-06,2023-03-16,2023-03-17,1628010,111,388.51,0.439,15,25,105674556053,0,,217.9,690.68,In-Transit,None,4.1
43605669,7321157,2983078,2024-08-21,2024-08-24,2024-08-27,1787227,361,359.87,2.288,18,20,563126626181,1,2022-06-18,154.2,279.11,Delivered,None,4.1
41354960,7799683,2914756,2025-03-26,2025-04-07,2025-04-10,1794984,206,657.26,0.493,15,20,992116315378,0,,339.06,2983.66,Returned,None,4.0
43577598,7437488,2108345,2022-11-26,2022-12-02,2022-12-04,1076246,165,90.07,0.893,10,20,661833953151,0,,251.49,3357.31,In-Transit,Weather,3.7
49734660,7961543,2264059,2024-05-16,2024-05-25,2024-05-25,1031806,168,132.56,0.05,18,30,716227191293,0,,612.06,510.61,Delivered,None,4.8
44109715,7651428,2977102,2024-07-23,2024-07-29,2024-07-30,1251061,228,335.19,0.05,10,25,214425378593,0,,256.14,3467.47,In-Transit,None,4.5
45753156,7224879,2347854,2025-03-09,2025-03-19,2025-03-19,1973768,176,2002.25,1.332,10,20,557191413783,0,,361.29,325.31,Delayed,Weather,4.1
41963356,7046857,2802690,2022-06-23,2022-07-05,2022-07-06,1639341,183,507.24,3.17,10,25,439721085644,1,2024-03-15,272.03,2359.07,Delivered,Traffic,4.0
41808796,7386016,2230416,2024-04-20,2024-05-03,2024-05-03,1074836,280,23.65,2.681,10,30,217791756404,0,,230.34,938.41,Delivered,Weather,4.2
48018383,7847626,2846398,2025-01-05,2025-01-13,2025-01-17,1377511,220,282.38,1.203,10,25,796962670431,0,,1925.37,3858.99,Delivered,None,3.7
43896183,7123242,2928267,2024-09-27,2024-10-07,2024-10-08,1939508,165,25.79,1.241,18,8,903006285404,0,,141.46,879.58,Delivered,Traffic,3.8
43302784,7784420,2446986,2022-11-30,2022-12-13,2022-12-13,1291912,167,749.61,2.489,2,20,156119938773,0,,212.44,3527.9,Delivered,None,3.2
45918371,7587873,2856668,2023-11-21,2023-11-30,2023-12-02,1821484,309,245.25,0.498,2,30,247681943488,0,,1311.33,507.7,Delivered,None,3.7
41105702,7812750,2060343,2023-07-26,2023-08-05,2023-08-06,1830272,196,1.0,2.616,10,30,788554566695,0,,1865.8,777.52,Delivered,None,
44685149,7681173,2851160,2023-04-14,2023-04-16,2023-04-19,1716308,393,704.37,0.58,18,20,151842693359,1,2024-07-22,846.46,4995.17,Delivered,None,4.0
44556502,7563896,2008653,2022-12-28,2023-01-02,2023-01-04,1498868,64,705.99,0.216,15,20,108289675760,1,2024-10-04,180.59,394.52,Delivered,Traffic,4.3
43573455,7911600,2346995,2024-03-30,2024-04-06,2024-04-06,1416957,82,305.89,0.179,18,25,856012084113,1,2024-12-06,550.38,50.87,In-Transit,None,4.0
43740515,7953539,2991797,2022-10-22,2022-10-28,2022-10-30,1112267,197,1.0,1.455,18,8,859881170059,0,,613.45,1443.26,Delivered,None,2.7
41983437,7767923,2418257,2024-11-25,2024-12-07,2024-12-08,1853421,308,462.08,0.115,18,8,193619245522,0,,180.19,510.99,Delivered,None,3.7
41059144,7657611,2613213,2023-10-29,2023-11-06,2023-11-06,1060043,337,115.13,0.486,15,30,384636369723,0,,70.26,865.25,Delivered,None,3.3
48004174,7237221,2111101,2023-08-28,2023-09-02,2023-09-03,1716294,171,253.8,2.248,2,25,312077792515,0,,250.16,2532.96,In-Transit,None,2.9
43152160,7698706,2018007,2023-05-09,2023-05-12,2023-05-15,1058524,140,68.57,1.309,15,8,781899451626,1,2023-09-21,406.97,2327.26,Delivered,None,
