movement_id,location_id,product_id,movement_type,movement_datetime,quantity_units,weight_kg,batch_number,expiry_date,operator_id,robot_id,source_location_id,destination_location_id,reason_code,po_number,invoice_number,unit_cost_usd,total_cost_usd,movement_status,temperature_at_movement_c
34400408,6422085,1965502,Outbound,2022-08-24,143,5.55,436894874,2023-06-03,3377568,1464354,6972328,6832060,RTRN,29884659,INV621099,9.29,5444.07,Confirmed,16.4
32540754,6457501,9819369,Inbound,2022-03-24,86,19.03,219336419,2023-10-20,3844948,1389128,6129393,6657479,ADJ-,16335769,INV922364,34.76,15147.84,Confirmed,16.2
32780833,6366805,1812530,Adjustment,2022-03-07,78,5.99,595023264,2023-07-01,3076097,1139623,6790918,6962108,RECV,18906939,INV520221,20.62,6638.5,Confirmed,17.1
31794528,6577959,1241998,Return,2023-04-21,44,29.1,803710886,2025-02-26,3914639,1823772,6389029,6690559,XFER,37806566,INV816053,51.46,48462.44,Confirmed,24.9
36426025,6649772,1563669,Inbound,2024-09-07,40,29.94,527689636,2026-05-12,3473655,1927381,6948242,6275420,RECV,78156288,INV762822,19.55,30891.36,Error,28.4
32780588,6136702,1754211,Transfer,2023-04-27,45,3.46,264886191,2023-12-01,3488704,1849001,6052075,6034561,DISP,91089685,INV731108,30.34,7471.76,Confirmed,19.2
36828366,6709809,1894220,Adjustment,2023-05-31,65,55.89,453432278,2025-05-29,3495725,1926182,6404404,6164885,SHIP,29951691,INV230127,46.68,14420.48,Pending,18.5
39965553,6470956,1765922,Outbound,2025-03-18,187,11.91,414315433,2026-01-21,3712995,1837796,6770428,6720013,RECV,70320908,INV595347,3.75,41317.56,Confirmed,15.3
30716168,6664103,1093829,Inbound,2024-01-09,159,23.31,888380769,2025-12-17,3663240,1336203,6266023,6497747,ADJ-,49970421,INV973738,35.13,31815.48,Cancelled,22.8
32341342,6767518,1718438,Outbound,2022-07-10,101,3.26,169033393,2023-10-28,3596459,1328238,6705500,6723180,SHIP,39220762,INV436305,26.27,22106.13,Confirmed,24.9
37975181,6861975,1276578,Inbound,2024-10-18,91,33.14,508096555,2026-03-09,3281244,1173511,6239793,6486347,RECV,84187361,INV381084,23.9,31653.46,Confirmed,25.6
33290455,6483074,1234096,Adjustment,2022-10-22,61,87.94,548001014,2023-12-06,3207629,1334679,6928297,6659623,ADJ-,17093660,INV388532,51.92,11100.69,Confirmed,25.7
39323314,6242993,1532449,Inbound,2024-01-08,67,25.47,988932372,2025-02-05,3472549,1792182,6869798,6513930,RECV,57684144,INV172492,41.57,29165.83,Confirmed,23.9
31524976,6171457,9943335,Outbound,2022-05-06,146,4.36,924918763,2023-08-27,3309999,1509340,6499395,6596153,RECV,91883739,INV134115,51.62,22125.2,Cancelled,16.2
32975298,6988783,1036750,Outbound,2023-10-25,58,29.93,702389448,2024-08-30,3768976,1558539,6445234,6971399,RECV,11820811,INV709081,41.49,32480.05,Confirmed,26.0
36153837,6710582,1890636,Inbound,2022-04-06,82,11.42,626721954,2023-11-17,3916706,1178165,6887924,6716133,ADJ-,17383338,INV777251,20.05,11209.61,Confirmed,30.0
39214214,6101544,1995115,Inbound,2024-05-13,127,48.93,739762265,2024-12-06,3137364,1762999,6917322,6665263,RECV,71221903,INV750241,25.73,39461.86,Confirmed,27.4
36786281,6398568,9751749,Inbound,2025-01-06,136,14.21,343503911,2025-07-25,3898463,1014267,6818087,6129606,XFER,66354006,INV408312,43.45,25315.98,Confirmed,15.2
39484979,6796450,1448512,Inbound,2022-09-21,127,29.21,531064534,2024-03-02,3217146,1747531,6609374,6416956,RECV,95066839,INV412919,43.68,19580.74,Confirmed,25.8
39572465,6800817,1299453,Adjustment,2024-02-17,95,20.38,965053628,2024-10-17,3696565,1500563,6569264,6358669,RECV,48492151,INV433372,50.29,294.33,Pending,26.1
39445331,6551018,1647879,Adjustment,2024-07-28,162,18.08,237717855,2025-11-27,3261586,1421747,6901821,6924143,RECV,30418569,INV573228,37.41,3403.19,Pending,22.7
31146493,6384267,1076098,Inbound,2024-11-14,179,39.38,115163191,2026-09-07,3284473,1828229,6074484,6111927,ADJ-,68168535,INV740168,10.75,21860.85,Confirmed,27.7
35488924,6498239,1590512,Inbound,2022-10-17,86,32.02,367654120,2023-11-17,3504655,1490040,6883223,6640583,XFER,93330049,INV721917,33.43,34913.49,Confirmed,26.6
39668414,6335065,1946431,Outbound,2024-06-18,65,26.95,264135172,2025-07-05,3070227,1240862,6830555,6974980,RECV,87108599,INV619742,46.6,4962.03,Pending,27.0
37285627,6525087,1844550,Adjustment,2024-08-13,171,26.81,448865757,2025-07-25,3559207,1150849,6693616,6604260,ADJ-,19483854,INV859476,33.62,26813.14,Confirmed,17.7
33394583,6536439,1831238,Return,2024-07-02,70,38.18,571340575,2025-12-16,3620705,1148031,6821179,6314779,RECV,47308861,INV147474,15.56,43839.05,Cancelled,28.4
38295534,6267533,1845330,Transfer,2023-01-04,85,16.04,983507939,2023-10-19,3117908,1737326,6578985,6303682,ADJ+,95662051,INV135599,35.51,5793.01,Confirmed,23.6
31549129,6879802,1312760,Inbound,2022-02-01,113,24.47,881763576,2023-05-23,3809400,1372177,6549202,6108752,RECV,51363180,INV411104,49.96,18551.49,Confirmed,27.9
33259255,6942739,1101447,Return,2024-03-04,115,62.45,851139537,2025-03-07,3929046,1677292,6375145,6572416,SHIP,59443871,INV624701,19.75,17284.96,Confirmed,21.6
35466424,6522811,1059956,Inbound,2023-02-04,100,83.21,256748323,2024-04-20,3113465,1716637,6949519,6700427,XFER,57309775,INV326988,45.99,35028.17,Confirmed,20.2
39068506,6300273,1810997,Inbound,2022-05-19,83,7.71,642699463,2023-06-04,3610337,1932084,6918880,6577945,SHIP,58607612,INV943543,49.53,1518.48,Confirmed,17.8
35263866,6819317,1350807,Transfer,2023-12-08,218,22.41,258878506,2025-09-10,3426268,1780111,6640275,6339513,RECV,64925281,INV308161,4.3,30771.48,Confirmed,28.1
30658155,6274625,1012865,Return,2023-07-12,164,78.44,647264448,2025-01-31,3290201,1746123,6674463,6463935,XFER,46746610,INV477942,26.7,3451.0,Confirmed,17.4
32630788,6497669,9674801,Adjustment,2022-02-23,90,53.88,728082225,2023-11-23,3183399,1113108,6879926,6595342,SHIP,83702003,INV601894,2.87,4428.01,Confirmed,28.4
36637341,6900406,1918218,Transfer,2022-02-21,62,61.02,417902076,2023-09-19,3037133,1299768,6537919,6209364,SHIP,74873900,INV508683,6.86,17576.29,Error,20.1
36670039,6756309,1249349,Outbound,2023-01-11,138,68.61,581224183,2023-08-10,3836241,1326539,6121476,6610838,SHIP,67122695,INV500935,47.13,26597.12,Confirmed,24.1
30202893,6321154,1864252,Adjustment,2023-10-09,31,11.55,241493069,2025-03-23,3803585,1902834,6614235,6761444,RECV,31539522,INV124628,42.85,24711.84,Confirmed,21.2
32404944,6420551,1252455,Inbound,2022-06-15,74,12.33,510307272,2023-04-26,3354888,1528245,6687498,6695764,SHIP,39726361,INV488361,37.06,18308.61,Pending,28.3
32906206,6110790,1733728,Inbound,2023-07-01,100,97.33,158375731,2025-01-16,3279642,1821328,6255282,6754846,RECV,22510901,INV550004,47.21,11667.03,Confirmed,19.6
37208956,6253810,1449119,Inbound,2023-10-28,39,4.4,828544120,2025-09-07,3807669,1193100,6953557,6239614,RECV,60046960,INV434541,40.59,8549.19,Confirmed,15.8
31188328,6665263,1314238,Outbound,2022-01-11,54,102.09,770148607,2023-01-13,3952637,1563086,6161723,6547057,XFER,50853825,INV904203,21.61,20279.26,Confirmed,27.9
37534250,6144263,1542878,Inbound,2022-06-03,43,26.23,786091687,2023-08-24,3428716,1205957,6606243,6526250,SHIP,72803781,INV995428,35.15,45024.01,Confirmed,24.7
39550149,6990369,1521391,Inbound,2023-09-04,54,8.31,871630397,2025-01-06,3888703,1479253,6905337,6807163,ADJ-,91120519,INV693176,47.66,6008.95,Error,23.0
34911930,6765054,1995966,Transfer,2024-05-07,169,27.9,953452722,2025-01-01,3042077,1675839,6329414,6059763,DISP,85335472,INV988396,27.11,1043.51,Pending,18.0
34214668,6235394,1243649,Adjustment,2024-10-15,61,52.86,158087002,2025-09-11,3443952,1500659,6470361,6701291,ADJ+,45651356,INV385579,15.61,32264.17,Confirmed,20.9
35550149,6185915,1132987,Transfer,2023-06-14,84,58.2,717795635,2025-02-02,3530851,1790148,6102020,6191970,ADJ+,28742937,INV628581,29.84,32629.34,Confirmed,30.0
36212745,6668058,1216227,Transfer,2023-09-01,52,81.77,377014528,2024-08-23,3637069,1487576,6769747,6811877,RECV,27437188,INV409377,12.04,10410.4,Confirmed,20.4
37220937,6278966,1675976,Inbound,2025-03-23,113,54.41,760703214,2026-12-12,3126933,1272573,6316279,6479880,RECV,51926325,INV398948,45.53,45184.54,Confirmed,20.0
30934999,6027654,1134469,Transfer,2022-09-24,95,13.82,206970574,2023-05-20,3039795,1554972,6811901,6395052,RECV,36007121,INV510152,44.52,3474.3,Confirmed,18.0
35387532,6669078,1529540,Inbound,2024-03-31,117,5.27,428557778,2025-02-10,3205607,1675223,6433058,6165686,XFER,82618443,INV613211,46.95,36997.6,Confirmed,19.8
31135205,6713252,1924082,Inbound,2022-09-01,147,14.02,484749380,2023-08-07,3985483,1014360,6539158,6810808,SHIP,70178077,INV830131,28.63,26190.6,Confirmed,23.4
30353034,6014976,1423484,Transfer,2023-05-26,76,4.25,922370989,2024-08-04,3759425,1281363,6325836,6115421,SHIP,86004257,INV967256,35.41,20015.15,Confirmed,29.6
33236781,6523416,1806166,Transfer,2024-12-15,164,30.88,318721674,2026-10-20,3744434,1730124,6667031,6399625,XFER,84634474,INV258957,11.16,38905.86,Confirmed,22.1
33686250,6276890,1974901,Return,2023-09-16,139,14.53,177918611,2024-06-19,3656969,1082497,6029067,6943896,XFER,38538747,INV205896,8.75,7554.23,Confirmed,19.0
35148442,6319762,1200830,Inbound,2022-04-02,41,32.6,144668659,2023-09-06,3451574,1625691,6758965,6483898,ADJ+,48346473,INV115478,25.06,37489.95,Confirmed,26.2
36642920,6249985,1834349,Outbound,2022-07-22,49,3.19,939750390,2023-12-10,3683754,1463582,6711871,6144610,ADJ+,97965254,INV839357,5.28,27966.94,Confirmed,18.4
30346783,6453015,1084633,Outbound,2023-03-13,53,13.52,523721505,2023-12-29,3050201,1469167,6662835,6616829,XFER,19958953,INV457029,12.22,24221.97,Confirmed,26.7
31676345,6670190,1830849,Outbound,2024-04-01,117,110.39,463351684,2024-11-15,3196974,1478869,6912782,6623491,SHIP,96647210,INV441265,41.51,4629.96,Confirmed,18.7
32323991,6322442,1223649,Outbound,2024-11-07,157,29.62,619677561,2025-07-08,3859845,1880494,6053407,6187603,ADJ+,71320356,INV158580,51.43,2161.89,Confirmed,18.3
33041103,6860729,1971208,Inbound,2024-07-26,114,92.27,849593158,2025-10-11,3276978,1553699,6706997,6853715,RECV,53447744,INV982137,19.74,30089.42,Pending,19.4
30794637,6667252,1811513,Outbound,2024-10-07,94,40.82,169578847,2026-06-26,3960527,1017897,6187868,6408685,XFER,47605731,INV918262,35.06,35160.61,Confirmed,19.9
33578483,6059445,1060388,Outbound,2023-01-22,46,2.28,975957281,2023-11-06,3266977,1467503,6561096,6320642,XFER,71335058,INV289284,32.08,41462.15,Confirmed,27.3
34733494,6273614,1336672,Inbound,2022-01-23,66,33.54,361303388,2023-11-19,3853111,1347060,6229457,6631336,SHIP,18578603,INV244752,50.37,44782.2,Confirmed,15.9
35140715,6703235,1689232,Inbound,2024-06-23,134,9.58,111136865,2026-03-28,3235249,1780380,6677776,6906673,SHIP,66774840,INV189320,52.87,39525.86,Error,27.5
36680255,6563301,1019529,Outbound,2022-06-26,92,26.67,115592082,2023-05-15,3946246,1332956,6994730,6732884,XFER,14905346,INV574872,28.99,14809.84,Confirmed,18.7
37246981,6268419,1565946,Adjustment,2025-04-11,83,46.71,462217682,2026-08-30,3785162,1740505,6562738,6428856,RECV,21803127,INV144833,43.36,42231.59,Confirmed,22.5
33529752,6515490,1348047,Transfer,2022-03-06,53,14.77,931382426,2022-12-08,3930178,1104912,6339353,6088794,XFER,17442387,INV565552,52.87,34772.27,Confirmed,29.1
35984491,6900491,1877319,Transfer,2024-06-22,100,63.32,216648329,2024-12-24,3969286,1274159,6346718,6073417,SHIP,67019572,INV100462,32.65,13179.14,Confirmed,18.5
35732109,6192168,1331497,Inbound,2023-01-22,119,40.63,873038030,2024-08-12,3814662,1527568,6569264,6897222,ADJ-,87026046,INV817279,22.16,37909.23,Confirmed,24.2
33549144,6352476,9920954,Outbound,2023-01-29,140,71.7,767018605,2024-02-12,3574471,1393586,6436019,6899988,ADJ+,58287214,INV666102,13.66,32267.24,Confirmed,24.1
33392816,6845343,1690196,Outbound,2023-03-10,97,50.48,641887391,2023-10-10,3146602,1410957,6517554,6772585,XFER,33589731,INV487999,18.01,9716.43,Confirmed,22.8
39918140,6106027,1802318,Outbound,2023-03-24,67,9.41,552696737,2024-10-16,3424887,1079059,6610504,6280374,ADJ+,26322506,INV262236,16.16,21367.33,Confirmed,17.3
32979611,6728671,1412895,Inbound,2023-12-04,65,102.77,301014110,2025-07-14,3421633,1762242,6103934,6445699,RTRN,49041592,INV401642,48.31,42004.4,Confirmed,22.8
36203760,6329489,1223593,Inbound,2024-03-21,103,22.33,233159434,2025-08-08,3533240,1347092,6744876,6714666,RECV,41459943,INV200648,15.33,11913.33,Confirmed,15.7
31802674,6909055,1660770,Inbound,2023-11-17,65,19.61,443197304,2024-12-05,3904730,1930174,6957256,6532025,ADJ+,90688204,INV175083,35.82,31146.25,Confirmed,19.6
33947408,6647302,1178173,Inbound,2024-06-23,141,16.18,390006677,2026-01-07,3812103,1238857,6496370,6387526,SHIP,49545292,INV805741,39.57,20624.45,Confirmed,22.0
39194303,6769703,1558752,Transfer,2024-01-19,194,83.81,224846595,2024-09-25,3942835,1466439,6115421,6220654,XFER,45757642,INV669478,21.5,20348.17,Confirmed,22.7
30991741,6821153,9988602,Outbound,2025-04-13,154,12.94,903349550,2027-03-15,3864374,1039707,6933562,6781035,ADJ-,30596232,INV264843,39.07,49780.53,Confirmed,27.2
39179222,6592785,1198381,Outbound,2022-05-24,69,68.18,420057757,2024-05-05,3514363,1471883,6604108,6719306,SHIP,41656773,INV690862,25.05,38770.33,Confirmed,20.3
33607364,6225376,1394581,Inbound,2024-06-01,142,47.97,303007796,2026-04-15,3925147,1410680,6225014,6797252,XFER,13166353,INV790664,54.87,29223.7,Confirmed,24.7
39496844,6323009,1078695,Return,2022-09-26,77,7.0,204368396,2024-05-08,3423420,1993355,6630471,6688341,SHIP,49736856,INV395334,7.65,23513.21,Confirmed,30.0
38581908,6837378,1194300,Adjustment,2022-07-03,83,43.54,506231615,2023-02-23,3364512,1448714,6441797,6267508,RTRN,99019546,INV580392,36.28,39571.7,Cancelled,21.8
30572575,6665044,1760372,Outbound,2023-12-13,68,56.61,405665196,2024-12-04,3098301,1319380,6736509,6629629,RTRN,69744973,INV512774,44.46,27593.31,Confirmed,16.5
32879687,6034731,1114731,Outbound,2024-03-14,59,23.4,596232157,2025-07-29,3592486,1231627,6786067,6948242,SHIP,40041091,INV164618,41.87,19336.25,Confirmed,22.6
37244653,6063866,1109577,Adjustment,2023-07-19,112,64.01,355131679,2024-10-07,3179781,1776427,6646906,6100174,RECV,75440558,INV674217,21.81,9138.41,Confirmed,18.6
30127122,6217942,1988874,Outbound,2024-04-17,105,18.67,560043547,2024-11-22,3783798,1332468,6850819,6368786,XFER,86098767,INV167846,43.58,14716.2,Confirmed,28.1
34292981,6607163,1598922,Outbound,2022-10-10,101,53.86,166762187,2023-10-07,3583890,1855737,6046058,6656724,ADJ-,28841963,INV509933,46.04,9636.74,Pending,21.3
33937650,6178224,1829743,Adjustment,2024-08-03,51,51.15,958762102,2025-06-28,3744882,1384970,6519839,6446736,SHIP,30731434,INV558259,47.06,46901.04,Pending,18.0
33793880,6931159,1562652,Inbound,2024-08-13,141,35.78,300493907,2025-10-14,3174471,1943582,6380148,6679616,XFER,41751733,INV452923,23.24,49197.28,Error,25.3
31507908,6285290,1604713,Outbound,2024-05-23,179,46.69,651939771,2026-05-19,3381703,1742910,6337345,6978152,RECV,41536981,INV985814,37.63,21545.37,Confirmed,21.4
37045012,6923180,1449877,Inbound,2022-10-09,37,4.15,359860564,2024-02-24,3326398,1042222,6320651,6207294,RECV,90324223,INV524841,11.91,19932.78,Confirmed,16.7
35912468,6394513,1723683,Outbound,2023-12-14,88,34.32,243066819,2024-08-07,3207432,1580868,6541203,6368894,SHIP,41104084,INV575923,53.2,48879.98,Confirmed,22.3
37172488,6915395,1376290,Inbound,2023-12-11,82,7.42,615254616,2024-08-12,3006796,1771982,6947570,6856522,ADJ-,21083109,INV933431,43.46,48482.89,Confirmed,17.1
30527766,6441268,1167476,Inbound,2022-11-22,95,19.22,807607694,2023-08-30,3131662,1435058,6085045,6185059,XFER,80670945,INV476652,2.65,4771.82,Cancelled,28.1
33191452,6698774,1914771,Disposal,2024-10-05,14,125.81,763355872,2025-10-02,3458366,1446564,6775161,6715478,XFER,30927424,INV972167,23.75,46229.56,Confirmed,25.0
34655623,6123485,1504322,Disposal,2022-08-23,85,14.4,458677069,2023-09-29,3371501,1168151,6216010,6823567,XFER,90623268,INV300162,26.66,6517.03,Confirmed,20.1
38051175,6311071,1044934,Adjustment,2022-05-31,169,65.38,107852751,2024-01-22,3788728,1799994,6741798,6078507,RECV,78129263,INV375907,29.2,40585.76,Confirmed,20.5
39921686,6936696,9643231,Outbound,2023-03-02,70,330.94,950082137,2024-01-26,3018106,1773571,6989184,6738679,SHIP,70501906,INV902426,23.85,20192.16,Confirmed,19.9
38376127,6542472,1301522,Outbound,2024-01-09,60,84.34,532870124,2025-03-12,3744925,1261207,6996359,6693890,RECV,62606958,INV509835,14.09,48891.11,Pending,16.5
34098596,6358669,1381770,Inbound,2025-02-11,156,26.9,293848381,2026-09-15,3503945,1939147,6960950,6939863,SHIP,96909899,INV549274,27.9,38007.89,Confirmed,26.4
38623523,6958130,1412200,Outbound,2025-01-10,79,8.5,360574059,2026-12-19,3136891,1070590,6500290,6710375,ADJ+,70404239,INV834313,30.29,34792.02,Confirmed,16.6
34729709,6122141,1609163,Transfer,2022-07-10,158,49.08,482902982,2023-07-17,3736343,1004729,6343002,6889586,RECV,89606734,INV682168,20.9,5042.64,Confirmed,16.9
32082158,6647153,1496012,Inbound,2025-01-14,76,74.22,354686353,2026-10-16,3612335,1892022,6605902,6960927,XFER,82444753,INV122958,10.33,43489.17,Confirmed,22.0
31564394,6482681,1137563,Outbound,2024-08-11,74,51.71,545238760,2025-02-28,3112101,1282854,6912677,6587681,RECV,82806507,INV450171,42.19,42540.78,Confirmed,16.5
33279026,6979344,1773523,Inbound,2025-04-17,98,27.54,941270423,2026-06-09,3465288,1014062,6547292,6434913,RECV,49555406,INV995596,47.86,41189.05,Confirmed,28.6
34334477,6740605,1221233,Inbound,2023-04-15,136,24.6,177433852,2024-12-18,3230938,1079691,6521348,6715750,ADJ+,91774112,INV564519,44.48,28836.44,Confirmed,27.0
37122202,6345921,1666147,Outbound,2024-12-11,112,50.23,220331007,2026-09-27,3748371,1529927,6122567,6527378,RECV,21384868,INV469250,46.31,47199.57,Confirmed,21.3
35342662,6842874,1033490,Inbound,2023-08-24,110,10.94,588818155,2024-03-31,3197685,1005656,6268693,6944763,ADJ-,89187184,INV757219,13.98,45325.24,Pending,22.1
34643932,6174511,1592526,Return,2023-04-05,96,50.35,519437349,2024-01-15,3189823,1063644,6628046,6778452,ADJ+,73918273,INV749651,54.29,34289.19,Confirmed,29.5
35519124,6349615,1919780,Outbound,2023-04-17,154,14.97,995026280,2025-01-23,3746213,1195413,6973346,6125726,XFER,96357597,INV406320,30.06,7699.76,Confirmed,29.8
33473108,6321081,1375630,Disposal,2022-08-20,42,13.13,104228820,2024-04-20,3229668,1527360,6522196,6913620,XFER,45397925,INV552145,7.26,38224.14,Confirmed,29.2
34742936,6736975,1121172,Inbound,2023-08-19,122,21.83,389376940,2025-05-04,3929625,1503446,6624425,6619608,SHIP,93651871,INV177929,5.61,40148.01,Confirmed,27.0
35572646,6756999,1009222,Disposal,2022-12-26,119,17.29,502412036,2023-11-05,3397347,1144138,6359216,6162503,SHIP,71902357,INV604320,22.81,41844.66,Confirmed,29.6
39471892,6522230,1025275,Outbound,2024-11-21,124,16.14,604172711,2026-05-31,3387775,1500288,6722268,6377100,RECV,52663712,INV587853,21.46,5389.67,Confirmed,26.7
30172088,6058113,1991932,Return,2024-10-16,98,15.47,923159577,2025-06-15,3324165,1841116,6917322,6108392,RECV,75045845,INV603335,33.88,25288.19,Confirmed,24.2
38914554,6664184,1206830,Inbound,2023-03-02,91,13.03,869670785,2024-01-27,3649734,1767459,6561164,6090213,SHIP,16376076,INV372422,50.6,12159.34,Pending,27.4
38485361,6144214,1098506,Transfer,2023-11-20,94,55.93,686944794,2024-09-02,3808513,1038556,6127378,6551252,SHIP,21435120,INV193493,24.92,25501.75,Confirmed,24.8
34553483,6928037,1821400,Inbound,2024-05-21,188,8.1,932055542,2025-07-10,3029975,1992295,6688850,6385880,RECV,24593857,INV628831,4.4,44490.79,Confirmed,22.7
30935239,6823327,1789485,Disposal,2022-09-02,32,39.42,144286396,2024-05-19,3167097,1378444,6264758,6502348,ADJ+,24354787,INV913495,11.13,11113.49,Pending,23.5
36114829,6363007,1283799,Inbound,2023-07-22,84,19.16,776058800,2024-03-17,3831942,1372500,6807732,6064863,XFER,18897483,INV497947,37.53,17849.41,Confirmed,18.6
36327756,6372673,1903568,Inbound,2023-08-02,96,17.86,127815349,2024-09-23,3159979,1139089,6866164,6626867,XFER,44625922,INV717525,2.63,7095.05,Confirmed,28.8
36849147,6708429,1760903,Inbound,2023-10-28,92,0.5,562865262,2025-01-04,3455973,1081184,6540858,6504826,RECV,89219888,INV957317,27.48,16120.24,Pending,25.6
31022340,6718447,1516580,Outbound,2023-09-25,87,22.35,908305915,2024-08-13,3371829,1124950,6846690,6355013,SHIP,12444815,INV157803,43.47,24698.84,Confirmed,22.6
36211674,6749510,1413203,Adjustment,2023-11-19,74,79.73,217773143,2025-11-09,3243690,1648193,6609554,6981013,RECV,82793525,INV363034,40.83,19128.05,Confirmed,17.1
37818542,6704768,1508847,Inbound,2024-01-03,47,13.45,800301511,2025-01-18,3053962,1734451,6411891,6058342,SHIP,67751762,INV687050,9.6,21004.88,Confirmed,26.5
39583830,6100690,1682806,Inbound,2025-04-08,94,8.86,451878677,2026-04-02,3113587,1156458,6892041,6122141,RECV,47619472,INV277077,34.67,5474.43,Confirmed,29.8
34409424,6217258,1165386,Transfer,2024-02-13,81,5.86,119874567,2025-10-18,3379514,1912010,6546659,6836814,SHIP,83135113,INV254607,20.23,36388.04,Confirmed,20.9
33863921,6131222,1546636,Transfer,2024-04-26,130,3.5,825218918,2025-06-06,3050489,1739084,6086742,6811042,XFER,33996108,INV588796,12.32,24585.76,Confirmed,28.8
34449689,6236463,1205181,Outbound,2024-05-10,116,20.72,611453521,2025-06-22,3893265,1454621,6624582,6982191,XFER,84486197,INV189171,38.87,22082.04,Confirmed,27.1
38145904,6098859,1983129,Adjustment,2022-09-02,68,15.21,197545540,2024-02-10,3809709,1346259,6852538,6145825,RECV,44986074,INV161990,13.9,47801.21,Confirmed,24.5
31349023,6296295,1245376,Outbound,2024-09-02,91,51.96,643106501,2026-02-07,3280979,1208538,6735999,6817658,ADJ-,40219789,INV536057,24.62,16326.67,Confirmed,23.6
35463387,6079971,1804182,Outbound,2023-07-17,121,27.52,252525659,2024-08-13,3629600,1295579,6812486,6400168,SHIP,93160191,INV762853,12.39,36425.74,Confirmed,24.1
31624937,6056676,1460453,Transfer,2022-03-06,126,31.58,318685776,2022-09-14,3092757,1501221,6810808,6513629,SHIP,76880727,INV471889,36.86,22619.57,Confirmed,17.3
30420794,6450110,1973360,Adjustment,2024-12-12,61,69.95,948454308,2026-01-15,3168426,1398447,6361734,6791549,XFER,46434503,INV624214,37.86,43485.44,Pending,17.2
36370385,6439372,1538210,Outbound,2023-02-16,135,7.6,734694982,2024-02-17,3396490,1256663,6604811,6507054,ADJ+,37832848,INV112300,40.09,11467.36,Confirmed,17.3
34443966,6196559,1076804,Outbound,2022-05-16,148,70.66,850176914,2024-03-03,3569668,1859453,6487360,6805366,RECV,47279940,INV763508,16.45,1183.97,Confirmed,17.6
35889361,6678957,1026580,Transfer,2024-01-18,112,2.12,314519692,2025-10-31,3277774,1183977,6467958,6817247,SHIP,88465612,INV772446,49.81,35606.44,Confirmed,27.6
37656131,6445648,1309136,Outbound,2024-07-20,56,17.06,634341741,2026-04-21,3222437,1618827,6680890,6635873,SHIP,56763800,INV507185,27.25,11041.42,Confirmed,18.2
36788236,6969710,1127472,Outbound,2023-09-30,180,15.08,563387451,2024-09-19,3306712,1227430,6701565,6552623,SHIP,87578408,INV969464,9.64,38833.04,Pending,16.6
39205696,6117876,1613575,Return,2024-11-20,127,90.98,858650437,2026-07-23,3151062,1831117,6254927,6469292,SHIP,72742036,INV604787,47.27,12232.09,Confirmed,19.6
