robot_id,robot_type,manufacturer,model_name,serial_number,purchase_date,installation_date,last_maintenance_date,next_maintenance_date,battery_capacity_kwh,max_payload_kg,max_speed_ms,warehouse_zone,current_status,firmware_version,total_operating_hours,total_tasks_completed,error_count_lifetime,maintenance_count,is_active
1124699,AGV,Kuka,MDL-8066,22385076,2022-05-28,2018-03-08,2024-04-02,2025-07-11,55.51,100,0.76,B,Active,v3.1,1341.2,2303,21,47,0
2888064,AMR,6 River,MDL-2874,82103654,2021-03-01,2022-08-04,2024-10-14,2026-05-18,54.87,100,2.75,A,Idle,v4.1,2098.2,8809,21,45,1
1951520,AMR,Kuka,MDL-7032,40100580,2018-07-08,2021-05-28,2024-08-09,2025-08-26,8.94,500,2.01,B,Idle,v4.2,1678.1,6137,33,47,1
1179093,Arm,OMRON,MDL-2401,34518633,2023-02-07,2023-12-23,2024-10-03,2026-02-27,61.92,1000,0.6,B,Active,v4.1,2061.7,2860,12,35,1
1469957,AGV,Fanuc,MDL-1384,35722129,2021-11-20,2018-12-03,2024-08-30,2025-07-15,25.69,100,2.22,A,Active,v5.0,703.6,2418,37,38,1
1656906,AMR,ABB,MDL-8626,72666794,2020-12-26,2022-01-13,2024-08-02,2026-02-06,15.34,50,1.41,A,Maintenance,v5.0,8265.4,7449,59,22,1
1720204,AGV,6 River,MDL-3874,34217535,2022-03-28,2021-09-15,2024-07-15,2025-11-02,29.16,200,3.38,C,Maintenance,v4.1,9535.2,3798,51,48,1
2831631,AGV,ABB,MDL-3205,13898734,2018-06-03,2019-12-21,2024-09-20,2025-06-15,11.2,50,1.98,F,Idle,v4.1,977.0,8820,28,18,0
1532604,AGV,6 River,MDL-9962,32994524,2020-10-19,2024-02-17,2024-09-13,2025-08-29,17.66,500,1.91,B,Active,v4.0,7404.9,4153,18,29,1
1470753,Depalletizer,Fanuc,MDL-2660,15464350,2020-11-23,2022-10-01,2025-04-19,2026-04-09,45.88,1000,1.07,E,Idle,v5.0,1239.7,3126,7,44,1
1108617,AMR,6 River,MDL-4722,58757564,2022-11-25,2019-09-26,2024-04-11,2026-02-20,21.16,50,2.34,C,Charging,v4.2,4247.6,4676,14,25,1
1408035,AMR,6 River,MDL-4736,78814465,2020-02-12,2021-03-01,2024-06-16,2025-10-07,42.46,100,0.65,D,Maintenance,v4.1,768.2,2937,45,12,0
1516533,AGV,Fanuc,MDL-6595,71979048,2021-10-10,2023-03-30,2024-11-21,2026-01-24,57.35,100,1.0,A,Maintenance,v4.1,1436.5,4178,107,4,1
1113551,Sorter,6 River,MDL-4486,92200643,2024-06-01,2020-07-09,2024-07-26,2025-06-06,16.45,50,1.74,B,Idle,v4.0,2204.7,7324,67,17,1
1806075,Sorter,Kuka,MDL-4966,81816369,2023-10-06,2018-03-08,2024-08-05,2026-04-18,38.24,50,1.37,B,Active,v4.1,4856.4,6329,29,23,1
1403585,Palletizer,OMRON,MDL-9053,13074163,2018-07-01,2020-05-13,2024-07-09,2026-02-15,65.0,50,0.62,A,Charging,v4.1,771.0,2610,44,23,1
1075148,Palletizer,6 River,MDL-6302,31595437,2022-03-06,2019-07-10,2024-06-22,2025-12-28,21.75,50,2.38,B,Active,v4.0,2516.5,5553,69,17,0
1297689,AMR,ABB,MDL-5041,97421892,2024-02-21,2022-03-28,2025-02-13,2025-12-11,36.72,500,2.01,F,Charging,v3.1,2241.9,4311,76,9,1
1383652,Arm,Fanuc,MDL-6373,54205802,2019-05-08,2019-02-10,2024-06-30,2025-07-09,53.28,100,1.08,D,Idle,v4.1,1253.8,3169,27,16,1
2242114,AMR,OMRON,MDL-1034,34789115,2022-12-04,2020-03-08,2024-03-12,2026-05-26,24.98,100,1.94,A,Decommissioned,v4.1,2203.2,2251,55,44,0
1383150,AMR,Kuka,MDL-5207,26400185,2022-06-24,2019-06-11,2024-07-12,2026-06-06,9.26,200,2.7,A,Error,v4.1,2146.1,5711,31,29,1
1439055,AGV,Geek+,MDL-7721,11275595,2024-12-24,2021-05-17,2024-03-22,2026-03-04,69.67,200,1.76,B,Idle,v4.2,4234.5,5964,37,27,1
1206158,AGV,Fanuc,MDL-1711,61816618,2018-06-21,2019-07-10,2025-01-01,2025-06-22,40.9,200,3.41,D,Idle,v4.1,648.1,5608,27,9,0
1568228,Depalletizer,OMRON,MDL-5877,92649802,2020-08-08,2018-05-21,2024-03-25,2025-09-09,27.01,1000,2.42,F,Idle,v5.0,6586.5,4862,32,41,1
1852923,Palletizer,OMRON,MDL-8301,64599121,2023-05-18,2023-09-25,2024-05-17,2025-11-12,19.44,100,3.03,D,Active,v4.0,6751.6,2995,47,17,1
1717995,AMR,6 River,MDL-6480,47585084,2024-10-25,2022-04-22,2024-03-11,2026-06-05,37.4,50,1.88,B,Active,v4.2,428.1,4049,48,39,0
1937699,Arm,OMRON,MDL-3005,13730182,2024-08-15,2022-10-12,2025-02-12,2026-02-16,9.74,100,0.5,C,Active,v5.0,1915.9,6695,26,47,1
1162197,AGV,OMRON,MDL-9817,59861869,2022-12-10,2024-04-02,2024-05-09,2026-04-07,35.57,100,1.41,F,Idle,v4.1,10048.2,6185,15,28,1
1051440,Depalletizer,ABB,MDL-7404,51678648,2023-06-14,2019-08-10,2024-04-17,2026-04-04,44.82,100,1.7,E,Active,v4.2,2701.0,5884,62,12,1
1152745,AMR,Kuka,MDL-9130,26190735,2022-09-23,2020-05-18,2024-05-28,2026-01-06,27.39,200,2.42,C,Idle,v3.1,6101.2,2093,65,46,1
1581366,Palletizer,ABB,MDL-5327,11171084,2018-10-31,2023-03-19,2025-01-28,2025-06-13,45.4,50,1.72,D,Idle,v3.2,2818.3,1887,13,4,0
1354713,Cobot,Fanuc,MDL-2369,39644427,2022-04-12,2022-09-10,2024-07-25,2025-09-24,14.11,1000,1.22,B,Active,v4.0,1914.1,4865,41,32,1
1132656,Depalletizer,OMRON,MDL-8206,82507111,2024-04-25,2021-11-24,2024-06-29,2025-11-02,78.75,100,1.78,C,Idle,v4.2,425.7,3093,97,5,1
1528532,Palletizer,ABB,MDL-6044,24526280,2020-02-08,2019-06-12,2024-02-20,2025-06-16,53.84,200,2.5,A,Charging,v4.0,3030.3,2870,8,37,1
1207533,AMR,Kuka,MDL-8209,60668934,2020-10-13,2021-12-22,2024-10-29,2026-05-13,9.87,50,1.19,E,Charging,v3.2,1064.0,1431,48,41,1
1198767,Sorter,Fanuc,MDL-7614,20588775,2021-07-02,2023-01-16,2024-06-15,2026-06-21,75.02,1000,0.86,C,Maintenance,v3.2,2127.1,4659,55,19,1
1655696,AMR,Kuka,MDL-9466,73061820,2021-02-08,2021-09-09,2024-04-25,2025-09-06,30.0,200,0.54,A,Idle,v3.2,5452.3,2920,37,49,1
1141082,AMR,ABB,MDL-7793,30322717,2020-08-02,2019-01-06,2024-12-03,2026-04-13,78.24,500,2.38,B,Charging,v4.1,858.0,4848,18,21,1
1795582,AGV,Fanuc,MDL-8730,24363012,2024-03-11,2022-04-02,2025-02-20,2025-12-25,71.55,200,0.73,A,Idle,v4.0,665.2,3999,50,44,1
1391032,Palletizer,Locus,MDL-9372,24317530,2023-11-25,2023-05-07,2024-11-08,2025-11-07,23.52,50,0.61,A,Error,v4.0,2383.7,3357,18,25,1
1675532,Palletizer,OMRON,MDL-2857,25998356,2020-12-05,2019-08-04,2024-12-14,2026-03-24,9.29,100,2.85,A,Idle,v3.1,462.0,7977,96,13,1
1524533,AGV,6 River,MDL-9748,49645381,2021-12-28,2022-10-02,2025-04-17,2025-09-20,67.79,100,2.67,B,Active,v3.2,641.4,3155,4,18,1
1060330,Arm,ABB,MDL-5441,96343739,2023-02-03,2019-11-19,2024-01-21,2025-10-28,24.54,1500,2.17,C,Idle,v4.2,1788.6,3271,2,17,1
1294249,AGV,OMRON,MDL-1788,93791287,2018-06-03,2021-04-17,2024-03-29,2025-06-28,54.65,200,2.36,E,Maintenance,v4.2,545.0,4072,7,1,1
1300857,AGV,Kuka,MDL-6072,75501835,2020-01-25,2021-02-24,2024-10-02,2025-10-19,31.74,200,1.07,D,Idle,v4.2,3842.3,10863,26,15,1
1723289,AGV,Fanuc,MDL-1698,68131681,2018-05-20,2022-12-09,2024-02-07,2025-08-18,35.57,1500,1.23,C,Decommissioned,v4.2,1439.1,5623,99,2,1
1956329,AGV,OMRON,MDL-5029,91949655,2018-10-04,2024-01-04,2024-05-07,2026-01-25,66.65,200,0.89,F,Charging,v4.2,1248.6,4083,64,38,0
1643740,AMR,ABB,MDL-1825,70457651,2018-09-19,2022-07-26,2025-03-25,2025-07-06,15.75,200,1.0,B,Active,v5.0,3998.8,4697,45,19,1
1774022,AMR,Fanuc,MDL-3529,57229613,2019-03-03,2018-09-10,2024-04-30,2025-08-23,78.21,500,2.65,D,Charging,v4.1,1389.4,5900,18,26,1
1631325,AGV,Fanuc,MDL-5077,56924256,2022-07-10,2020-11-23,2024-11-08,2026-01-06,44.8,50,1.88,C,Active,v4.0,131.9,5083,23,4,1
1066560,AMR,ABB,MDL-5041,86331684,2018-03-06,2020-08-25,2025-03-14,2025-08-06,50.97,200,2.74,B,Charging,v4.0,19.8,1959,37,13,1
1252077,AGV,OMRON,MDL-6082,34427652,2022-11-02,2019-02-21,2024-06-29,2025-08-08,74.28,50,1.4,E,Idle,v5.0,4884.0,3947,155,34,1
1560784,Depalletizer,6 River,MDL-3525,57706473,2024-12-13,2022-08-04,2025-04-07,2025-07-17,20.9,1500,2.76,E,Active,v4.2,7977.7,3339,19,28,0
1394960,AMR,OMRON,MDL-7231,82312448,2019-02-20,2024-10-22,2025-01-27,2025-12-11,40.75,200,0.72,A,Maintenance,v4.2,6898.5,6085,24,12,1
1194702,Palletizer,OMRON,MDL-4471,28597586,2019-07-04,2022-03-21,2024-08-10,2026-04-02,76.23,1000,1.25,C,Maintenance,v4.1,3072.6,2418,65,21,1
1737723,AGV,Kuka,MDL-1300,39819279,2023-07-26,2023-05-04,2024-01-29,2025-11-10,27.76,200,0.75,B,Idle,v3.2,167.2,3839,88,40,1
1033380,Arm,ABB,MDL-4249,39865540,2022-09-16,2019-05-31,2025-04-20,2026-05-30,57.5,100,1.47,B,Active,v4.2,891.2,1930,18,45,1
1160919,AMR,Locus,MDL-9267,52501683,2022-03-15,2020-08-19,2025-03-23,2025-12-30,16.81,500,3.25,C,Active,v4.2,4098.2,4684,18,38,1
1486973,Depalletizer,Kuka,MDL-3690,90070839,2023-08-26,2019-07-31,2024-02-15,2025-12-12,8.32,100,1.9,A,Active,v3.2,403.7,4675,16,34,1
1493227,AMR,ABB,MDL-2972,25622094,2021-12-27,2020-03-01,2024-10-21,2025-06-01,5.57,100,1.66,E,Active,v4.1,551.4,4886,61,20,1
1150098,Sorter,ABB,MDL-1209,23513528,2019-02-15,2018-08-31,2024-01-01,2025-11-17,61.15,200,1.74,D,Charging,v4.2,2309.9,3421,101,46,1
1270622,Arm,Kuka,MDL-5447,29452394,2020-12-07,2020-05-19,2024-10-08,2026-06-17,21.54,200,2.02,C,Charging,v4.2,1555.4,1650,19,37,1
1800689,Arm,ABB,MDL-3873,66490125,2018-01-20,2021-02-12,2024-09-25,2025-10-13,39.55,200,3.49,D,Charging,v4.1,736.4,1677,29,28,1
1638302,Depalletizer,Locus,MDL-9229,68076492,2022-10-26,2022-10-07,2025-03-18,2026-06-13,69.02,500,2.83,A,Idle,v4.1,4246.8,4281,0,49,1
1517852,Palletizer,Locus,MDL-5061,93832652,2023-12-10,2021-08-17,2024-09-05,2025-09-20,29.51,100,1.45,B,Active,v3.1,4793.9,7640,50,6,1
1302044,AGV,Fanuc,MDL-8443,17496588,2022-04-23,2021-02-14,2024-09-30,2026-01-07,49.63,200,2.94,B,Active,v4.0,3055.3,5230,17,18,1
1826632,AGV,Fanuc,MDL-9619,44146475,2019-05-11,2021-12-07,2024-06-17,2025-12-24,27.82,100,2.9,B,Active,v4.1,4372.9,5023,15,35,1
1469167,AMR,ABB,MDL-2808,21615698,2023-06-11,2019-04-08,2025-02-06,2026-05-17,72.79,100,2.8,A,Active,v4.0,320.9,3979,32,44,1
1470115,Arm,Fanuc,MDL-7829,22965832,2024-08-04,2021-08-14,2024-08-16,2025-11-12,27.46,500,1.05,E,Charging,v5.0,1581.7,4329,10,28,1
1545563,AGV,Fanuc,MDL-1371,19327931,2018-02-06,2018-07-30,2024-05-14,2025-10-09,52.95,100,0.89,C,Idle,v3.2,8528.7,6767,36,37,1
1206967,Palletizer,ABB,MDL-5743,20350759,2019-04-04,2022-08-20,2024-01-15,2025-11-11,60.76,500,2.87,E,Active,v3.2,1261.6,7368,17,19,1
1214540,Sorter,Fanuc,MDL-4898,49588256,2021-02-08,2022-01-25,2024-06-24,2025-06-24,69.12,1000,0.58,C,Active,v4.1,1204.2,6731,107,28,1
1672357,Palletizer,6 River,MDL-3974,18451950,2021-07-26,2018-08-14,2024-01-08,2025-12-30,61.41,200,2.61,A,Active,v3.1,40.6,4038,77,5,1
2683133,Sorter,Locus,MDL-1418,97251597,2019-11-25,2022-02-04,2024-06-29,2026-05-26,5.42,100,2.81,A,Decommissioned,v4.1,852.6,3546,16,5,1
1742417,AMR,ABB,MDL-4292,29409578,2022-11-27,2023-02-06,2024-05-28,2025-12-20,61.11,200,2.05,A,Active,v4.0,812.6,6144,44,27,1
1730844,AMR,Locus,MDL-4145,34667871,2024-10-30,2024-05-11,2024-12-06,2026-03-29,7.13,200,0.87,B,Active,v3.2,307.8,5020,83,35,0
1862858,AGV,OMRON,MDL-9971,76832597,2024-11-06,2025-01-23,2024-01-16,2025-12-17,74.17,50,2.6,B,Active,v3.2,949.2,6262,59,20,1
1696230,Palletizer,ABB,MDL-5065,45988953,2023-08-26,2020-12-29,2024-05-25,2026-06-19,69.4,1000,3.14,C,Charging,v4.0,612.8,4876,19,1,1
1008023,Cobot,Locus,MDL-2173,68653036,2019-12-26,2024-01-14,2024-10-15,2025-12-13,31.65,50,2.15,C,Maintenance,v4.0,58.5,3733,49,2,1
1202051,Cobot,Kuka,MDL-8950,43784065,2022-12-13,2019-07-25,2024-06-15,2026-05-20,30.26,1000,1.14,D,Idle,v3.2,3794.7,4296,13,14,1
1941914,Arm,Fanuc,MDL-5423,96262941,2023-11-23,2021-10-08,2024-06-26,2025-12-06,79.55,50,3.18,C,Idle,v5.0,427.0,2458,42,17,1
1090826,Palletizer,6 River,MDL-5618,10778855,2021-02-26,2018-10-28,2024-02-19,2026-04-20,31.83,100,0.73,B,Charging,v4.0,4143.7,5471,8,22,1
1897588,Arm,Geek+,MDL-8336,64222495,2024-03-28,2019-02-12,2025-01-04,2026-01-10,10.65,50,1.48,A,Error,v3.1,1497.1,5234,9,4,1
1897827,Depalletizer,OMRON,MDL-3408,32695173,2021-09-22,2023-01-12,2025-02-09,2025-12-25,60.74,1000,2.38,A,Maintenance,v4.2,445.3,4604,34,29,1
1843457,AMR,ABB,MDL-8267,19718308,2019-02-10,2023-10-18,2024-12-30,2025-06-05,12.73,500,0.62,B,Active,v4.0,3438.8,7118,17,18,0
1075029,AMR,ABB,MDL-6808,58449765,2020-02-01,2024-12-03,2024-11-21,2026-03-20,26.1,200,3.4,A,Maintenance,v4.2,6190.7,9908,2,34,1
1304289,Palletizer,ABB,MDL-6851,69422024,2020-09-17,2019-08-31,2024-01-07,2025-07-09,38.49,200,2.52,A,Charging,v4.1,2030.1,6597,43,18,0
1271423,AMR,OMRON,MDL-7261,33222399,2023-10-23,2024-02-24,2024-10-04,2026-01-27,54.93,200,3.26,A,Error,v4.1,797.3,3051,20,35,1
1113983,AMR,6 River,MDL-4477,51466477,2019-01-03,2024-03-15,2024-03-26,2025-07-23,25.6,1000,0.6,B,Idle,v4.0,237.4,8044,19,12,1
1012983,AMR,Fanuc,MDL-3744,95736579,2021-01-24,2020-07-30,2025-02-26,2025-09-28,36.67,500,2.32,B,Active,v4.0,1591.7,8097,54,49,1
1046694,AGV,Fanuc,MDL-6501,86892267,2018-11-09,2019-10-11,2024-04-23,2025-08-18,63.3,500,1.35,A,Active,v3.1,901.4,2332,20,11,1
1592088,AMR,OMRON,MDL-8102,39897389,2019-07-17,2019-06-03,2024-01-09,2026-04-12,18.5,100,3.31,D,Active,v4.2,227.4,6179,6,14,1
1053567,Palletizer,Kuka,MDL-3034,52635539,2024-03-20,2018-07-09,2024-07-10,2025-06-27,72.59,500,2.98,B,Idle,v3.2,1332.6,8700,5,22,1
1637833,Depalletizer,Fanuc,MDL-8550,20325238,2024-06-08,2023-04-22,2025-04-23,2025-09-20,57.76,500,3.13,F,Idle,v4.2,6144.4,4656,101,14,0
1230910,AMR,ABB,MDL-6926,73527681,2019-12-26,2020-05-14,2025-04-09,2026-06-12,40.84,1000,1.45,C,Active,v5.0,6871.0,4711,45,21,1
1018373,Palletizer,Fanuc,MDL-5463,32354035,2024-01-07,2023-02-02,2024-10-24,2025-08-10,60.95,100,1.58,D,Idle,v5.0,883.4,6181,31,13,1
1022081,AGV,Fanuc,MDL-6429,34886105,2023-03-08,2018-07-27,2024-12-11,2026-04-15,14.34,200,1.26,A,Active,v4.1,3200.3,5677,8,14,1
1930078,AGV,Fanuc,MDL-4960,26419295,2023-02-09,2018-10-13,2024-05-21,2025-07-13,77.58,100,1.81,A,Active,v4.1,1584.8,9044,87,6,1
1972858,AGV,OMRON,MDL-4047,77535407,2018-06-09,2020-08-18,2024-12-24,2025-11-19,37.17,50,3.46,B,Idle,v4.2,997.2,1570,26,48,1
1191294,Depalletizer,OMRON,MDL-1511,39534467,2019-12-13,2023-10-04,2024-04-04,2026-03-16,8.68,100,2.29,C,Active,v3.1,3907.9,5481,57,46,0
1468079,Depalletizer,Fanuc,MDL-5031,16862186,2019-07-26,2022-10-05,2024-09-21,2025-06-12,21.96,100,1.54,D,Idle,v4.1,1736.1,9246,50,22,1
1472257,Cobot,OMRON,MDL-4944,94859301,2020-10-02,2023-12-15,2025-01-01,2025-08-12,31.92,100,0.52,A,Active,v4.1,824.9,7522,26,2,0
1565742,AGV,Fanuc,MDL-7230,59639439,2020-12-01,2019-05-03,2024-12-21,2025-06-11,35.24,1000,1.24,D,Idle,v4.0,2800.0,4360,15,25,1
1180196,Palletizer,ABB,MDL-3730,76880505,2024-07-26,2019-12-30,2024-07-14,2025-11-23,16.47,500,2.89,B,Charging,v4.1,6055.5,2335,91,21,1
1821815,AMR,Locus,MDL-9886,94983174,2020-07-23,2023-08-25,2025-03-27,2026-03-08,21.13,100,2.59,E,Decommissioned,v3.2,4479.1,4705,14,18,0
1844743,Palletizer,Fanuc,MDL-4922,44038576,2020-09-16,2020-11-23,2024-12-28,2025-11-27,28.13,1000,1.75,B,Maintenance,v3.2,1517.6,6967,78,9,1
1259549,Arm,Locus,MDL-4800,86151432,2023-11-30,2024-09-18,2025-03-29,2026-06-22,38.65,50,0.78,A,Maintenance,v5.0,1419.6,2293,47,33,1
1520064,AMR,Locus,MDL-8424,96496922,2020-08-24,2021-02-27,2024-04-22,2025-08-29,60.64,100,2.78,A,Idle,v4.1,1666.4,4960,28,33,1
1574698,AMR,Kuka,MDL-5934,23193308,2023-08-29,2020-03-03,2024-04-09,2025-10-10,59.09,50,2.86,C,Active,v4.2,1011.8,3752,85,29,1
1350824,AMR,Locus,MDL-1119,54110611,2021-08-09,2024-08-07,2024-07-07,2025-11-07,78.76,500,0.81,B,Idle,v3.2,4957.5,4992,18,26,1
1792756,Sorter,6 River,MDL-9595,66336104,2023-01-13,2021-07-28,2024-04-01,2025-08-30,71.58,1000,2.17,A,Active,v3.2,1970.7,8187,28,45,1
1178920,Palletizer,Kuka,MDL-1282,31862039,2021-07-24,2018-09-11,2024-04-03,2025-09-21,39.44,100,2.57,B,Error,v3.2,5745.5,5409,38,32,0
1445301,Palletizer,ABB,MDL-3575,31025722,2020-05-23,2018-11-19,2024-12-13,2025-08-19,12.2,500,1.93,E,Idle,v4.0,4585.9,3117,28,12,1
1239851,Palletizer,Locus,MDL-9209,71230292,2021-08-09,2018-10-09,2024-07-06,2026-02-19,53.63,200,0.63,A,Active,v4.2,1149.1,3930,16,43,1
1482579,Palletizer,OMRON,MDL-9577,38277135,2022-08-21,2023-08-17,2025-01-21,2025-09-06,44.33,100,2.86,E,Active,v4.0,9844.4,8110,16,34,1
1177770,AMR,Geek+,MDL-9852,73429822,2019-06-27,2022-04-19,2024-08-24,2026-04-10,56.59,50,1.55,A,Active,v3.1,179.2,5310,28,43,1
2350352,Sorter,ABB,MDL-6629,26390312,2019-08-12,2019-11-18,2025-02-19,2025-11-23,65.85,1000,2.0,A,Maintenance,v5.0,2017.8,6149,29,16,0
1043805,AMR,Fanuc,MDL-1630,69958699,2024-09-03,2019-11-27,2025-04-02,2026-02-20,29.73,500,1.12,C,Active,v4.0,4472.8,2356,26,29,1
1006505,AGV,OMRON,MDL-6657,51755733,2019-05-13,2023-07-15,2025-03-01,2025-06-19,26.67,200,3.26,C,Active,v4.2,1667.0,4012,41,2,0
1875722,Palletizer,Fanuc,MDL-9907,97168589,2018-11-14,2019-09-10,2025-04-15,2025-11-29,24.42,1000,0.67,A,Idle,v4.0,316.0,6048,25,11,1
