order_id,product_id,batch_id,order_date,planned_start_datetime,actual_start_datetime,planned_end_datetime,actual_end_datetime,planned_quantity_units,actual_quantity_units,unit_of_measure,production_line,shift,operator_id,quality_score,rejection_rate_pct,order_status,robot_assisted,energy_consumed_kwh,rework_required
27654474,1748070,4823215,2022-01-18,2022-07-04,2022-07-04 01:00:00,2022-07-06 04:00:00,2022-07-06 05:00:00,5377,4866,Pouch,Line-1,Afternoon,3775772,79.88,1.444,Completed,1,248.39,0
22922611,1482000,4267715,2023-06-08,2024-02-14,2024-02-14 02:00:00,2024-02-14 08:00:00,2024-02-14 15:00:00,28429,28188,Pouch,Line-1,Night,3551883,73.55,0.361,Completed,1,13.44,0
22396969,1275553,4399353,2023-02-24,2022-11-24,2022-11-23 22:00:00,2022-11-25 06:00:00,2022-11-25 04:00:00,10086,9364,Carton,Line-5,Afternoon,3932566,82.12,0.114,In-Progress,0,22.24,0
29541826,1111120,4688299,2023-03-17,2023-12-13,2023-12-13 01:00:00,2023-12-15 18:00:00,2023-12-16 00:00:00,28371,28751,Tin,Line-2,Night,3862078,84.32,2.494,Completed,0,82.87,0
20648909,1892721,4725903,2024-10-18,2024-02-05,2024-02-04 23:00:00,2024-02-06 13:00:00,2024-02-06 17:00:00,36514,34090,Pouch,Line-3,Afternoon,3511216,92.08,5.429,Completed,1,24.47,0
24138762,1535123,4079625,2024-09-11,2023-12-16,2023-12-15 23:00:00,2023-12-16 15:00:00,2023-12-16 18:00:00,25654,25032,Box,Line-4,Morning,3327372,67.34,0.072,Completed,1,160.03,0
24425636,1164300,4477437,2023-07-06,2024-08-08,2024-08-07 22:00:00,2024-08-08 07:00:00,2024-08-08 10:00:00,49478,48163,Box,Line-4,Morning,3142194,89.4,0.72,Completed,0,98.84,0
27031395,1517906,4237831,2022-01-24,2023-12-30,2023-12-30 06:00:00,2024-01-01 09:00:00,2024-01-01 17:00:00,29797,30472,Tin,Line-1,Morning,3921945,82.79,0.566,Scheduled,1,205.94,0
24030489,1221432,4655229,2024-08-23,2024-03-22,2024-03-22 04:00:00,2024-03-24 01:00:00,2024-03-24 09:00:00,8434,8080,Tin,Line-5,Afternoon,3469615,71.9,1.986,Completed,0,42.77,0
25063995,1210570,4707262,2025-02-15,2022-08-24,2022-08-24 05:00:00,2022-08-24 23:00:00,2022-08-25 04:00:00,29555,27073,Pouch,Line-3,Morning,3430235,89.95,2.793,Completed,1,105.73,1
28955074,1155769,4100685,2024-04-29,2023-02-03,2023-02-03 03:00:00,2023-02-03 09:00:00,2023-02-03 16:00:00,38311,33048,Tin,Line-2,Night,3862525,43.59,0.437,In-Progress,0,99.91,0
28150131,1866209,4723029,2023-09-15,2023-05-31,2023-05-31 03:00:00,2023-06-01 00:00:00,2023-06-01 08:00:00,24033,24333,Tin,Line-1,Morning,3421280,93.5,0.307,On-Hold,0,186.04,1
26166551,1825782,4858938,2024-04-30,2024-12-07,2024-12-06 22:00:00,2024-12-08 06:00:00,2024-12-08 04:00:00,40175,42019,Tin,Line-3,Night,3023011,79.0,3.391,Completed,0,42.72,0
24636753,1758669,4931206,2024-09-04,2023-08-06,2023-08-06 01:00:00,2023-08-08 14:00:00,2023-08-08 16:00:00,41655,41319,Carton,Line-2,Night,3469071,62.01,0.456,Completed,0,192.06,0
26429698,1986221,4415484,2022-09-25,2022-11-07,2022-11-06 22:00:00,2022-11-09 11:00:00,2022-11-09 14:00:00,49096,48252,Tin,Line-5,Morning,3540564,44.82,0.99,In-Progress,1,30.58,0
26373667,1871315,4481023,2024-05-18,2023-02-22,2023-02-22 05:00:00,2023-02-23 21:00:00,2023-02-24 07:00:00,22265,21569,Tin,Line-3,Morning,3319845,92.56,2.571,Completed,0,77.74,0
29546720,1029311,4718076,2024-03-26,2024-09-09,2024-09-09 03:00:00,2024-09-09 23:00:00,2024-09-10 04:00:00,14926,13193,Tin,Line-1,Morning,3683800,67.88,3.965,Completed,1,337.37,0
21377275,1491461,4219348,2022-01-05,2022-08-25,2022-08-25 00:00:00,2022-08-25 15:00:00,2022-08-25 14:00:00,38437,38763,Pouch,Line-3,Morning,3420712,84.16,0.37,Completed,1,190.0,0
26594848,1410595,4746453,2024-10-28,2023-12-04,2023-12-03 22:00:00,2023-12-05 16:00:00,2023-12-05 17:00:00,7044,6179,Pouch,Line-1,Night,3914725,72.13,1.15,On-Hold,0,52.83,1
23197436,1617709,4059945,2024-12-22,2023-08-03,2023-08-03 06:00:00,2023-08-04 00:00:00,2023-08-04 06:00:00,38327,38820,Pouch,Line-2,Night,3704456,46.95,0.133,Scheduled,1,41.16,0
27444393,1561466,4156966,2022-01-29,2024-07-24,2024-07-23 22:00:00,2024-07-26 22:00:00,2024-07-26 20:00:00,12394,12583,Tin,Line-3,Afternoon,3885775,91.89,1.004,Completed,1,392.18,0
26554049,1051919,4763964,2023-11-23,2024-03-31,2024-03-31 06:00:00,2024-04-02 17:00:00,2024-04-02 23:00:00,16577,16295,Carton,Line-3,Morning,3237305,69.42,0.494,Completed,1,10.0,0
21467496,1703917,4321536,2022-01-26,2025-03-05,2025-03-05 07:00:00,2025-03-07 02:00:00,2025-03-07 08:00:00,42284,44286,Carton,Line-3,Night,3558936,84.12,0.125,Completed,1,161.94,0
27887004,1107171,4233224,2023-12-18,2024-06-29,2024-06-28 23:00:00,2024-06-30 04:00:00,2024-06-30 06:00:00,29287,27891,Tin,Line-2,Afternoon,3836309,73.25,3.346,Scheduled,1,200.84,1
28003112,1983462,4023497,2023-01-21,2022-08-20,2022-08-20 01:00:00,2022-08-21 07:00:00,2022-08-21 12:00:00,28537,25014,Box,Line-1,Night,3922792,79.58,0.203,In-Progress,1,10.43,1
29758553,1206674,4335943,2022-03-27,2022-09-13,2022-09-13 04:00:00,2022-09-15 10:00:00,2022-09-15 19:00:00,42260,40274,Carton,Line-1,Morning,3425214,71.53,1.036,Completed,1,702.45,0
23473756,1783205,4462886,2022-08-25,2024-05-12,2024-05-12 03:00:00,2024-05-14 11:00:00,2024-05-14 18:00:00,39780,37528,Pouch,Line-2,Afternoon,3165863,77.09,1.148,In-Progress,1,144.9,0
22607187,1991489,4726901,2023-04-23,2024-10-01,2024-10-01 01:00:00,2024-10-01 06:00:00,2024-10-01 11:00:00,35096,36471,Tin,Line-2,Morning,3973358,89.44,1.382,Scheduled,1,553.78,0
21429545,1471056,8813511,2023-10-04,2022-07-16,2022-07-16 07:00:00,2022-07-16 23:00:00,2022-07-17 06:00:00,27457,23642,Pouch,Line-3,Morning,3941560,55.76,3.277,Completed,1,555.67,1
21325165,1394561,4459742,2024-12-05,2025-03-28,2025-03-27 23:00:00,2025-03-30 21:00:00,2025-03-30 19:00:00,48691,47668,Tin,Line-1,Afternoon,3066763,66.35,0.944,On-Hold,0,124.04,0
29255186,1264733,4866274,2023-01-27,2023-01-07,2023-01-07 02:00:00,2023-01-07 08:00:00,2023-01-07 13:00:00,19752,20160,Pouch,Line-3,Morning,3858034,60.57,0.176,Completed,0,56.13,0
22176959,1148800,4486405,2023-10-09,2024-04-30,2024-04-30 01:00:00,2024-05-02 03:00:00,2024-05-02 04:00:00,45475,39080,Tin,Line-3,Afternoon,3307036,94.66,1.897,Completed,1,604.93,0
28878231,1013696,4707495,2024-04-02,2023-06-16,2023-06-16 00:00:00,2023-06-17 16:00:00,2023-06-17 21:00:00,39772,37609,Pouch,Line-1,Morning,3069632,92.95,1.299,In-Progress,0,233.59,0
25907052,1017192,4173117,2024-05-17,2022-12-30,2022-12-30 01:00:00,2022-12-30 20:00:00,2022-12-30 23:00:00,26760,27723,Tin,Line-1,Night,3377896,95.07,0.192,Completed,1,47.27,1
20688427,1396538,4237083,2023-11-01,2024-12-28,2024-12-28 04:00:00,2024-12-29 13:00:00,2024-12-29 18:00:00,34894,33330,Pouch,Line-1,Morning,3153435,95.27,2.434,Completed,1,204.72,0
21623282,1553103,4459256,2023-12-24,2023-08-26,2023-08-26 05:00:00,2023-08-26 08:00:00,2023-08-26 18:00:00,21761,21289,Pouch,Line-2,Afternoon,3773192,94.43,2.902,Completed,0,197.13,0
21413964,1398251,4067257,2024-08-28,2024-05-15,2024-05-15 07:00:00,2024-05-16 02:00:00,2024-05-16 09:00:00,41731,36844,Pouch,Line-5,Morning,3580959,86.04,0.228,Completed,1,214.33,0
20285892,1028822,4525961,2024-07-12,2022-06-18,2022-06-18 04:00:00,2022-06-18 05:00:00,2022-06-18 12:00:00,37522,34101,Tin,Line-3,Morning,3438233,81.14,0.452,Completed,1,167.28,0
25829760,1122849,4920550,2024-09-20,2024-03-09,2024-03-09 00:00:00,2024-03-09 20:00:00,2024-03-09 22:00:00,45348,40670,Tin,Line-1,Afternoon,3982842,77.38,3.22,Completed,1,37.15,0
29105070,1910037,4730560,2024-01-01,2022-07-10,2022-07-10 01:00:00,2022-07-12 16:00:00,2022-07-12 19:00:00,13210,12492,Tin,Line-5,Afternoon,3179555,85.92,1.935,Completed,1,63.73,0
20522426,1827909,4296522,2023-02-21,2023-09-08,2023-09-07 23:00:00,2023-09-08 11:00:00,2023-09-08 10:00:00,6696,6005,Tin,Line-2,Night,3784140,83.09,0.207,Completed,0,10.0,0
24953161,1567406,4681585,2023-07-11,2023-02-14,2023-02-14 07:00:00,2023-02-15 07:00:00,2023-02-15 13:00:00,26739,22998,Tin,Line-1,Morning,3449975,78.18,1.258,Completed,1,440.41,1
23642816,1448012,4852210,2023-11-20,2023-03-11,2023-03-10 22:00:00,2023-03-13 16:00:00,2023-03-13 13:00:00,16894,17516,Pouch,Line-3,Afternoon,3192064,65.14,0.071,Completed,0,45.41,0
26778949,1123815,4812912,2023-12-04,2022-08-26,2022-08-26 06:00:00,2022-08-28 09:00:00,2022-08-28 19:00:00,27743,28454,Carton,Line-3,Night,3288366,76.6,4.458,Scheduled,1,10.0,0
28917676,1044258,4235194,2024-01-11,2023-05-23,2023-05-23 05:00:00,2023-05-24 13:00:00,2023-05-24 17:00:00,37719,37252,Tin,Line-1,Night,3192264,90.59,1.853,Cancelled,0,37.92,0
22834521,1820836,4090870,2024-01-14,2024-01-19,2024-01-19 07:00:00,2024-01-21 23:00:00,2024-01-22 06:00:00,34172,29679,Tin,Line-2,Morning,3853454,68.64,1.002,Completed,1,462.08,0
29281347,1047312,4509167,2023-06-11,2023-03-07,2023-03-07 07:00:00,2023-03-09 03:00:00,2023-03-09 15:00:00,39552,38010,Pouch,Line-3,Night,3417290,96.0,0.693,Scheduled,0,113.36,0
21213653,1585196,4312398,2022-09-08,2024-01-02,2024-01-01 23:00:00,2024-01-04 12:00:00,2024-01-04 15:00:00,37351,34260,Tin,Line-1,Morning,3338498,95.19,1.68,Completed,1,10.0,0
27142347,1220780,4592860,2022-04-27,2023-03-31,2023-03-30 23:00:00,2023-04-01 15:00:00,2023-04-01 14:00:00,22303,20849,Pouch,Line-4,Morning,3625839,63.85,1.64,Completed,1,25.05,0
29500982,1235684,4882256,2023-05-04,2024-02-20,2024-02-20 00:00:00,2024-02-22 12:00:00,2024-02-22 16:00:00,2227,1931,Tin,Line-1,Afternoon,3333297,88.86,0.655,Scheduled,1,37.59,0
23304517,1988172,4738738,2023-04-27,2024-05-07,2024-05-07 01:00:00,2024-05-07 20:00:00,2024-05-08 02:00:00,28394,25125,Box,Line-1,Afternoon,3776072,96.62,0.335,Completed,0,10.65,0
26472258,1025466,4703613,2023-06-03,2024-01-05,2024-01-05 02:00:00,2024-01-05 22:00:00,2024-01-06 00:00:00,2891,2499,Tin,Line-3,Night,3514037,91.44,0.145,Completed,0,28.61,0
23258677,1724916,4943062,2024-01-12,2024-03-17,2024-03-17 04:00:00,2024-03-19 22:00:00,2024-03-20 02:00:00,35360,34417,Tin,Line-2,Afternoon,3090679,93.91,0.513,Completed,0,10.0,0
22523865,1439839,4839569,2024-11-29,2023-09-30,2023-09-30 02:00:00,2023-10-02 12:00:00,2023-10-02 15:00:00,21814,21307,Tin,Line-1,Morning,3600043,84.32,1.462,Completed,1,236.71,0
24022503,1658472,4081035,2024-09-25,2024-03-31,2024-03-31 07:00:00,2024-04-02 06:00:00,2024-04-02 12:00:00,43275,43460,Tin,Line-1,Morning,3409684,87.5,1.162,Completed,1,60.45,1
21500085,1735678,4849422,2024-10-02,2023-11-11,2023-11-10 22:00:00,2023-11-12 18:00:00,2023-11-12 20:00:00,38776,37323,Tin,Line-1,Night,3403653,77.5,1.398,Scheduled,1,621.59,0
23744330,1388338,4174032,2024-10-16,2022-06-03,2022-06-03 03:00:00,2022-06-03 06:00:00,2022-06-03 11:00:00,43811,38213,Tin,Line-5,Morning,3459045,84.33,0.637,Completed,1,364.33,0
26138755,1887293,4645787,2023-02-13,2024-10-13,2024-10-12 22:00:00,2024-10-13 21:00:00,2024-10-14 00:00:00,30981,27702,Tin,Line-3,Morning,3963139,94.61,6.878,Completed,1,126.08,0
22310486,1612872,4581189,2024-05-04,2023-01-07,2023-01-07 05:00:00,2023-01-07 16:00:00,2023-01-07 22:00:00,43299,41031,Tin,Line-1,Night,3230843,73.24,1.77,Completed,0,100.46,0
22136920,1001396,4929089,2022-02-10,2023-08-12,2023-08-11 23:00:00,2023-08-13 16:00:00,2023-08-13 18:00:00,37074,38317,Tin,Line-2,Morning,3447168,84.82,1.264,Completed,1,262.16,0
27301157,1384835,4277538,2022-11-13,2022-06-12,2022-06-12 05:00:00,2022-06-13 22:00:00,2022-06-14 07:00:00,12108,10783,Tin,Line-3,Morning,3410999,87.69,0.397,In-Progress,1,158.52,0
28138870,1862119,4751238,2023-12-20,2024-02-22,2024-02-22 07:00:00,2024-02-24 09:00:00,2024-02-24 16:00:00,3019,2695,Carton,Line-4,Morning,3298895,67.74,0.217,On-Hold,1,525.0,0
26289257,1560490,4636309,2024-04-13,2023-11-20,2023-11-20 06:00:00,2023-11-22 16:00:00,2023-11-22 23:00:00,3410,3353,Pouch,Line-1,Afternoon,3172535,61.74,0.117,Completed,0,150.3,0
27801968,1261107,4469894,2022-07-22,2024-11-22,2024-11-21 22:00:00,2024-11-23 19:00:00,2024-11-23 21:00:00,38200,38717,Box,Line-3,Morning,3177873,87.46,1.003,Completed,1,10.0,0
29575494,1443132,4959460,2023-04-25,2023-04-21,2023-04-21 02:00:00,2023-04-22 07:00:00,2023-04-22 10:00:00,16750,14625,Pouch,Line-1,Night,3037956,82.01,0.99,Scheduled,1,77.34,0
22685152,1202083,4018054,2022-12-24,2023-02-14,2023-02-14 03:00:00,2023-02-14 11:00:00,2023-02-14 17:00:00,25346,24089,Pouch,Line-3,Morning,3093073,79.67,0.522,Completed,1,240.74,1
20103446,1682587,4762263,2023-12-26,2022-12-11,2022-12-11 04:00:00,2022-12-12 00:00:00,2022-12-12 08:00:00,25841,26092,Tin,Line-3,Night,3931231,88.19,2.081,On-Hold,1,79.2,0
21853154,1291912,8047171,2024-08-23,2022-06-12,2022-06-11 22:00:00,2022-06-13 00:00:00,2022-06-13 00:00:00,38250,33190,Tin,Line-1,Morning,3823905,89.84,5.005,Completed,1,10.0,0
23652210,1239121,4715237,2024-11-27,2024-11-11,2024-11-11 05:00:00,2024-11-12 06:00:00,2024-11-12 11:00:00,39916,41633,Carton,Line-1,Afternoon,3629158,86.63,2.233,Completed,0,128.65,0
25099141,1659903,4970381,2023-09-22,2023-10-18,2023-10-18 01:00:00,2023-10-18 15:00:00,2023-10-18 19:00:00,7078,6954,Tin,Line-2,Night,3582768,93.3,0.213,Completed,1,36.24,0
22245368,1120663,4627775,2024-10-01,2023-07-04,2023-07-04 05:00:00,2023-07-05 07:00:00,2023-07-05 11:00:00,25801,25937,Tin,Line-5,Night,3051472,79.2,0.965,In-Progress,1,194.92,0
21183004,1155938,4651569,2022-11-18,2024-02-02,2024-02-02 01:00:00,2024-02-04 20:00:00,2024-02-05 02:00:00,17504,15326,Tin,Line-2,Afternoon,3247886,80.83,3.143,Completed,1,10.0,0
27675420,1657536,4984752,2023-08-08,2023-03-13,2023-03-13 03:00:00,2023-03-15 02:00:00,2023-03-15 08:00:00,46666,46347,Tin,Line-4,Night,3311480,88.22,4.362,Scheduled,1,570.86,0
28520698,1501414,8149706,2024-06-17,2024-07-13,2024-07-13 07:00:00,2024-07-14 12:00:00,2024-07-14 23:00:00,15656,13691,Tin,Line-2,Night,3332291,67.1,0.025,In-Progress,1,31.44,0
21922206,1725648,4221802,2025-02-13,2025-01-05,2025-01-05 06:00:00,2025-01-06 00:00:00,2025-01-06 05:00:00,18076,15909,Carton,Line-2,Night,3952979,86.82,3.629,Completed,0,278.43,1
21303101,1926064,4341143,2022-05-04,2024-10-27,2024-10-26 23:00:00,2024-10-29 17:00:00,2024-10-29 20:00:00,5495,5343,Pouch,Line-1,Afternoon,3733112,94.25,1.263,Completed,1,515.26,0
29135179,1640862,4151121,2023-12-07,2023-04-23,2023-04-23 03:00:00,2023-04-23 13:00:00,2023-04-23 18:00:00,26574,25958,Tin,Line-3,Morning,3717743,93.74,3.304,Completed,0,139.49,1
24728987,1047828,4637156,2023-05-17,2023-08-03,2023-08-03 01:00:00,2023-08-04 11:00:00,2023-08-04 15:00:00,22638,20565,Tin,Line-3,Morning,3111945,68.44,0.525,Completed,1,10.0,0
28868825,1205865,4874896,2022-07-30,2023-07-25,2023-07-24 23:00:00,2023-07-26 02:00:00,2023-07-26 02:00:00,25230,26479,Tin,Line-3,Afternoon,3970048,94.74,0.716,Completed,1,487.19,1
22442978,1045286,4936356,2022-10-14,2025-01-11,2025-01-11 00:00:00,2025-01-11 04:00:00,2025-01-11 06:00:00,36997,37409,Tin,Line-3,Night,3307243,81.39,3.295,In-Progress,1,241.43,0
24144621,1549757,4852055,2024-11-13,2023-06-19,2023-06-19 05:00:00,2023-06-20 20:00:00,2023-06-21 06:00:00,38073,32543,Box,Line-3,Morning,3160755,66.55,0.078,Scheduled,1,45.15,0
22466251,1877361,4667187,2024-03-19,2025-01-07,2025-01-06 23:00:00,2025-01-08 22:00:00,2025-01-08 20:00:00,2705,2596,Pouch,Line-4,Afternoon,3321387,85.41,1.103,Completed,1,68.1,0
22126615,1073819,4134741,2024-12-02,2023-07-07,2023-07-07 04:00:00,2023-07-09 01:00:00,2023-07-09 08:00:00,32024,29948,Box,Line-2,Afternoon,3759164,80.35,0.265,Completed,0,87.25,0
21110921,1684724,4688678,2022-06-13,2022-08-02,2022-08-01 22:00:00,2022-08-02 10:00:00,2022-08-02 13:00:00,18584,18748,Carton,Line-3,Night,3077370,94.78,0.053,Completed,1,53.08,0
21548778,1475495,4318496,2023-02-06,2023-06-13,2023-06-13 03:00:00,2023-06-14 21:00:00,2023-06-15 01:00:00,40470,39899,Tin,Line-1,Afternoon,3720216,68.69,0.02,Completed,1,63.37,0
21032281,1947861,4028857,2024-10-17,2024-03-21,2024-03-21 05:00:00,2024-03-21 18:00:00,2024-03-21 22:00:00,40057,40687,Tin,Line-1,Morning,3056695,88.06,0.332,Completed,1,179.4,0
25299910,1490089,4180809,2024-04-06,2023-11-15,2023-11-15 03:00:00,2023-11-17 00:00:00,2023-11-17 03:00:00,24158,21794,Box,Line-3,Night,3986050,93.85,1.392,Scheduled,0,19.07,0
26991096,1612667,4785397,2023-12-25,2022-12-16,2022-12-16 03:00:00,2022-12-16 05:00:00,2022-12-16 13:00:00,17561,17584,Tin,Line-1,Afternoon,3089437,93.03,0.48,Scheduled,1,104.75,0
27413511,1709215,4639730,2024-11-14,2023-03-24,2023-03-24 03:00:00,2023-03-24 13:00:00,2023-03-24 20:00:00,7877,7961,Tin,Line-2,Morning,3597351,83.87,0.638,Completed,1,204.69,0
23623400,1097990,4938167,2024-01-18,2024-12-31,2024-12-30 23:00:00,2025-01-01 15:00:00,2025-01-01 14:00:00,28584,29762,Carton,Line-4,Night,3655452,68.69,0.295,In-Progress,1,34.1,0
20653444,1000193,4791045,2024-07-24,2023-08-26,2023-08-26 03:00:00,2023-08-27 21:00:00,2023-08-28 05:00:00,21151,21327,Pouch,Line-4,Night,3093154,99.08,3.017,Completed,1,511.15,0
28049969,1658626,4630425,2024-04-18,2025-02-11,2025-02-11 00:00:00,2025-02-13 15:00:00,2025-02-13 15:00:00,31496,26783,Tin,Line-1,Afternoon,3976930,74.49,1.087,Completed,1,190.65,0
23759162,1074850,4986220,2024-12-22,2025-01-05,2025-01-05 07:00:00,2025-01-07 20:00:00,2025-01-08 08:00:00,24345,25052,Pouch,Line-3,Afternoon,3449876,94.71,1.773,On-Hold,1,165.34,0
28153386,1770699,4336324,2025-02-10,2022-12-03,2022-12-02 22:00:00,2022-12-03 23:00:00,2022-12-03 22:00:00,16588,16585,Box,Line-1,Afternoon,3998007,81.81,0.259,Completed,1,10.0,0
23262685,1175485,4204994,2024-11-26,2023-04-16,2023-04-16 04:00:00,2023-04-17 07:00:00,2023-04-17 11:00:00,18532,15980,Tin,Line-3,Afternoon,3300552,54.41,0.476,Completed,1,10.22,0
26558451,1532585,4593203,2023-04-11,2024-02-29,2024-02-29 07:00:00,2024-03-01 07:00:00,2024-03-01 17:00:00,21396,20882,Box,Line-1,Morning,3451857,72.86,2.66,Scheduled,1,196.57,1
24822550,1722037,4776260,2023-11-05,2023-07-14,2023-07-14 02:00:00,2023-07-14 18:00:00,2023-07-15 01:00:00,24611,23494,Tin,Line-1,Afternoon,3734800,89.43,3.961,Completed,1,49.89,0
20529202,1720168,4458195,2023-02-18,2025-01-02,2025-01-01 22:00:00,2025-01-03 06:00:00,2025-01-03 06:00:00,32693,29449,Tin,Line-1,Afternoon,3255368,58.26,0.183,Completed,1,684.91,0
26221010,1879334,4944226,2023-10-13,2022-11-17,2022-11-17 05:00:00,2022-11-17 19:00:00,2022-11-18 01:00:00,33887,30576,Box,Line-5,Night,3468395,91.01,0.307,In-Progress,1,119.64,0
29421977,1841251,4033355,2024-10-31,2023-11-22,2023-11-21 22:00:00,2023-11-22 17:00:00,2023-11-22 20:00:00,22432,22330,Tin,Line-1,Night,3029765,58.07,1.661,Completed,1,33.4,0
21848989,1072827,4201468,2025-02-12,2023-09-17,2023-09-17 02:00:00,2023-09-17 13:00:00,2023-09-17 18:00:00,29250,30460,Pouch,Line-1,Morning,3975700,82.39,0.879,Completed,0,13.19,0
26430885,1085228,4374706,2024-05-04,2023-12-18,2023-12-18 06:00:00,2023-12-20 07:00:00,2023-12-20 17:00:00,26381,27385,Tin,Line-4,Afternoon,3596241,91.05,0.415,Completed,1,159.91,0
28619839,1603138,4650793,2023-11-13,2022-10-20,2022-10-20 01:00:00,2022-10-22 12:00:00,2022-10-22 13:00:00,25202,24141,Box,Line-1,Night,3681693,92.08,1.559,Completed,0,121.84,0
