product_id,product_name,sku,category,formula_type,age_group_months,package_size_g,package_type,unit_price_usd,cost_price_usd,country_of_origin,certification,shelf_life_days,storage_temp_min_c,storage_temp_max_c,protein_content_pct,fat_content_pct,is_organic,is_allergen_free,is_active
1983462,NutriStart Stage 2,SKU17259,Follow-On Formula,Whey-Based,6-12,400,Tin,20.45,34.44,Netherlands,ISO22000,365,20,30,1.78,4.59,0,0,1
1148599,BabyGold Organic S1,SKU15873,Specialty Formula,Soy-Based,0-6,900,Box,39.56,16.65,New Zealand,Organic,548,18,28,1.63,5.19,0,0,1
1745804,AlphaFirst Colostrum,SKU93141,Toddler Milk,Soy-Based,6-12,600,Tin,51.17,37.96,Netherlands,Kosher,548,15,30,2.7,3.79,0,0,1
1217901,ProGrow S3,SKU18143,Toddler Milk,Soy-Based,0-6,600,Pouch,16.94,37.03,Ireland,ISO22000,548,20,25,2.97,3.2,0,1,1
1774369,SoyaBliss Infant,SKU68615,Follow-On Formula,Whey-Based,12-24,800,Tin,26.22,37.43,USA,Organic,730,15,28,3.43,3.86,0,0,1
1358716,BabyGold Organic S1,SKU46150,Toddler Milk,Whey-Based,12-24,1800,Tin,20.77,39.54,Ireland,Organic,912,18,28,1.34,5.38,0,0,1
1337592,ProGrow S3,SKU51974,Specialty Formula,Soy-Based,24-36,400,Pouch,26.95,39.41,Germany,Organic,548,20,25,1.3,3.84,0,0,1
1225438,NutriStart Stage 1,SKU36741,Specialty Formula,Soy-Based,6-12,600,Tin,33.3,29.37,Germany,HACCP,912,20,30,1.63,2.63,0,0,1
1432585,NutriStart Stage 2,SKU49710,Toddler Milk,Whey-Based,6-12,1000,Pouch,58.84,6.23,Australia,HACCP,730,15,28,2.45,2.56,1,0,1
1212950,MilkPure Follow-On,SKU83495,Follow-On Formula,Whey-Based,0-6,900,Tin,33.26,30.0,Australia,Kosher,730,15,30,1.47,3.66,0,1,1
1753679,NutriStart Stage 2,SKU97500,Toddler Milk,Hydrolyzed,12-24,400,Pouch,36.55,39.28,Netherlands,ISO22000,912,15,25,3.08,3.34,0,0,1
1429520,SoyaBliss Toddler,SKU35014,Toddler Milk,Whey-Based,24-36,400,Tin,22.87,5.93,Australia,Halal,912,18,30,2.8,3.03,1,1,1
1137829,SoyaBliss Infant,SKU15135,Toddler Milk,Whey-Based,24-36,600,Carton,50.88,9.38,Germany,ISO22000,365,18,25,3.44,2.78,0,0,1
1945783,BabyGold Organic S1,SKU56027,Toddler Milk,Whey-Based,12-24,800,Tin,34.36,13.77,USA,HACCP,365,20,28,2.74,4.83,0,1,1
1767359,SoyaBliss Toddler,SKU24042,Infant Formula,Whey-Based,24-36,1000,Tin,42.94,5.43,Germany,Organic,730,15,30,2.51,5.12,0,1,1
1268797,NutriStart Stage 2,SKU88432,Toddler Milk,Casein-Based,24-36,600,Box,54.21,9.25,Netherlands,HACCP,730,20,30,2.75,2.86,0,0,1
1470383,BabyGold Organic S1,SKU65230,Follow-On Formula,Casein-Based,12-24,800,Pouch,25.18,30.41,Netherlands,Halal,730,20,30,3.08,4.16,0,1,1
1824004,BetaBoost Follow-On,SKU53522,Toddler Milk,Hydrolyzed,6-12,400,Pouch,23.79,11.64,USA,ISO22000,548,15,28,1.6,4.1,0,0,1
1077416,BetaBoost Follow-On,SKU21891,Toddler Milk,Casein-Based,24-36,400,Carton,60.94,21.9,Germany,Kosher,912,20,30,1.27,3.49,0,0,1
1954657,NutriStart Stage 2,SKU27343,Follow-On Formula,Whey-Based,24-36,900,Tin,28.77,31.5,New Zealand,HACCP,730,18,30,2.26,5.44,0,1,0
1677588,BetaBoost Follow-On,SKU63892,Specialty Formula,Casein-Based,6-12,1000,Pouch,38.54,16.08,Australia,HACCP,548,18,28,2.92,4.95,0,0,1
1285971,NutriStart Stage 2,SKU30448,Follow-On Formula,Whey-Based,0-6,600,Tin,33.17,23.13,Australia,None,365,15,30,3.72,3.5,0,0,1
1198923,NutriStart Stage 2,SKU85718,Follow-On Formula,Whey-Based,6-12,800,Pouch,22.06,13.7,Germany,Organic,730,20,28,1.47,4.29,1,1,1
1153619,NutriStart Stage 1,SKU88646,Toddler Milk,Casein-Based,24-36,600,Tin,43.45,20.46,New Zealand,None,365,18,25,3.23,4.88,0,0,1
1250198,AlphaFirst Colostrum,SKU43540,Infant Formula,Casein-Based,0-6,400,Tin,37.96,16.53,USA,Halal,548,15,25,3.58,4.0,0,1,1
1447649,SoyaBliss Infant,SKU48175,Specialty Formula,Casein-Based,6-12,800,Box,38.96,22.12,New Zealand,HACCP,730,15,28,2.84,4.77,0,0,1
1464548,AlphaFirst Colostrum,SKU24053,Follow-On Formula,Casein-Based,12-24,800,Tin,36.72,31.94,New Zealand,ISO22000,730,18,25,1.78,5.12,1,1,1
1977051,MilkPure Follow-On,SKU37230,Infant Formula,Whey-Based,6-12,900,Carton,37.04,13.22,New Zealand,ISO22000,365,18,25,2.28,4.06,0,0,1
1130015,MilkPure Infant,SKU48059,Follow-On Formula,Whey-Based,0-6,200,Tin,12.66,21.33,Germany,None,548,15,28,2.0,4.61,0,0,1
1926451,SoyaBliss Infant,SKU83991,Infant Formula,Whey-Based,36+,1000,Carton,22.04,33.19,Germany,Kosher,365,20,30,2.26,3.06,0,0,1
1886048,SoyaBliss Infant,SKU10825,Follow-On Formula,Hydrolyzed,24-36,1000,Pouch,54.44,3.84,Australia,Organic,730,15,25,2.0,3.54,0,1,1
1175175,BabyGold Organic S1,SKU28763,Toddler Milk,Casein-Based,24-36,1800,Tin,36.57,11.76,Netherlands,None,730,15,25,2.24,3.66,0,0,1
1243346,BabyGold Organic S2,SKU86224,Follow-On Formula,Casein-Based,0-6,800,Tin,28.43,39.52,Ireland,HACCP,365,20,30,1.38,3.82,0,0,1
1760779,MilkPure Follow-On,SKU83800,Infant Formula,Casein-Based,12-24,600,Tin,58.69,33.86,USA,Organic,548,15,25,1.32,4.51,0,0,0
1413128,NutriStart Stage 3,SKU84756,Toddler Milk,Casein-Based,0-6,400,Carton,52.5,38.39,Netherlands,HACCP,912,18,25,1.71,5.05,0,1,0
1221783,ProGrow S2,SKU42432,Toddler Milk,Hydrolyzed,24-36,900,Tin,26.85,13.78,Netherlands,Halal,548,20,30,2.68,4.44,1,1,1
1415275,LactoFree Infant,SKU11534,Infant Formula,Casein-Based,24-36,1000,Tin,49.9,21.44,USA,ISO22000,730,18,30,2.0,3.56,0,0,1
1848820,LactoFree Infant,SKU55076,Infant Formula,Whey-Based,6-12,400,Tin,44.84,5.72,New Zealand,HACCP,912,18,25,2.89,5.34,0,0,0
1054608,LactoFree Infant,SKU30363,Infant Formula,Whey-Based,24-36,600,Pouch,48.63,9.55,Ireland,Kosher,548,18,30,3.58,2.96,0,0,1
1246182,ProGrow S1,SKU25405,Infant Formula,Whey-Based,0-6,200,Pouch,30.91,37.85,New Zealand,Halal,548,18,25,2.63,4.61,0,1,0
1150414,MilkPure Follow-On,SKU95166,Specialty Formula,Soy-Based,6-12,1000,Tin,43.31,5.71,New Zealand,Halal,548,20,25,3.43,3.32,1,1,1
1681311,SoyaBliss Toddler,SKU14326,Follow-On Formula,Whey-Based,36+,200,Tin,37.0,8.28,USA,Organic,912,18,28,3.43,3.38,1,0,1
1921383,MilkPure Follow-On,SKU73951,Toddler Milk,Whey-Based,0-6,600,Tin,39.56,13.87,Netherlands,ISO22000,730,15,30,3.66,2.65,0,1,1
1421876,NutriStart Stage 1,SKU62352,Follow-On Formula,Casein-Based,0-6,800,Pouch,42.3,15.55,New Zealand,Organic,730,20,25,1.95,4.75,0,1,1
1145852,ProGrow S1,SKU25979,Infant Formula,Casein-Based,12-24,600,Tin,42.93,20.01,Netherlands,Halal,548,18,25,1.99,2.93,0,1,0
1819999,MilkPure Infant,SKU55340,Follow-On Formula,Amino Acid-Based,24-36,400,Tin,18.09,4.46,New Zealand,HACCP,730,20,30,1.62,3.97,0,0,1
1041630,ProGrow S2,SKU83783,Infant Formula,Whey-Based,6-12,600,Tin,27.47,35.44,Germany,HACCP,548,18,25,1.42,3.67,0,0,1
1559940,NutriStart Stage 3,SKU55353,Follow-On Formula,Hydrolyzed,12-24,600,Pouch,63.9,29.88,Netherlands,Organic,730,18,28,3.6,4.32,0,0,1
1134261,BabyGold Organic S2,SKU69571,Toddler Milk,Casein-Based,0-6,1800,Tin,40.97,25.09,Australia,Kosher,730,18,28,2.16,5.34,0,1,1
1082875,ProGrow S1,SKU68059,Toddler Milk,Whey-Based,6-12,400,Box,30.76,12.71,USA,ISO22000,548,18,30,3.33,3.07,0,0,1
1535792,BetaBoost Follow-On,SKU19967,Toddler Milk,Soy-Based,24-36,1000,Pouch,46.98,21.56,Germany,HACCP,912,18,28,3.69,5.12,0,0,1
1487152,NutriStart Stage 2,SKU26331,Infant Formula,Whey-Based,6-12,600,Tin,33.94,23.9,Germany,ISO22000,730,18,28,3.17,3.96,1,0,1
1435158,MilkPure Toddler,SKU23767,Toddler Milk,Soy-Based,6-12,200,Box,58.94,6.14,Australia,ISO22000,548,18,30,2.22,3.68,0,0,1
1396538,ProGrow S1,SKU66621,Follow-On Formula,Whey-Based,0-6,400,Tin,32.68,6.61,New Zealand,HACCP,548,15,28,3.0,2.59,0,0,1
1669059,AlphaFirst Colostrum,SKU32033,Follow-On Formula,Hydrolyzed,6-12,1000,Tin,30.05,16.64,Netherlands,Kosher,365,20,28,3.05,3.59,0,0,1
1894606,NutriStart Stage 1,SKU43742,Toddler Milk,Casein-Based,12-24,600,Tin,46.3,33.39,New Zealand,HACCP,365,20,28,1.48,5.44,1,0,1
1432609,AlphaFirst Colostrum,SKU37680,Follow-On Formula,Casein-Based,0-6,1800,Tin,35.68,3.16,Australia,Halal,548,20,25,1.48,3.02,0,0,1
1993747,SoyaBliss Toddler,SKU31556,Infant Formula,Hydrolyzed,6-12,400,Pouch,9.33,15.71,USA,ISO22000,912,18,25,3.34,3.38,0,0,1
1490389,SoyaBliss Toddler,SKU44436,Infant Formula,Whey-Based,0-6,400,Tin,23.19,27.76,Germany,Halal,548,20,30,1.92,4.7,0,1,1
1996527,NutriStart Stage 1,SKU88522,Infant Formula,Soy-Based,36+,900,Tin,22.37,5.87,Ireland,HACCP,548,18,25,3.67,3.07,0,0,1
1508761,BetaBoost Follow-On,SKU77562,Infant Formula,Whey-Based,24-36,900,Box,52.52,8.29,Netherlands,HACCP,548,15,30,2.9,5.21,0,0,1
1232156,NutriStart Stage 1,SKU79082,Toddler Milk,Casein-Based,12-24,800,Tin,10.12,33.54,Australia,Halal,365,20,25,3.4,5.44,0,0,1
1946855,MilkPure Infant,SKU15531,Infant Formula,Casein-Based,6-12,400,Tin,11.4,9.06,Netherlands,ISO22000,548,20,30,1.45,4.69,0,0,1
1608103,NutriStart Stage 1,SKU47983,Specialty Formula,Whey-Based,6-12,200,Tin,45.75,15.47,Netherlands,Kosher,548,20,28,3.61,3.66,0,0,1
1874780,MilkPure Infant,SKU61059,Follow-On Formula,Whey-Based,0-6,600,Tin,13.04,19.37,Germany,Halal,548,15,30,2.49,4.53,0,1,1
1683514,NutriStart Stage 1,SKU85168,Toddler Milk,Soy-Based,24-36,1000,Tin,22.72,33.75,Netherlands,HACCP,912,20,25,2.55,3.97,0,0,1
1326540,NutriStart Stage 2,SKU49834,Follow-On Formula,Whey-Based,12-24,900,Pouch,55.29,24.71,USA,None,548,15,30,3.65,3.35,0,1,1
1943410,NutriStart Stage 1,SKU98979,Toddler Milk,Casein-Based,0-6,900,Carton,27.87,9.02,Netherlands,Kosher,548,15,25,2.11,4.42,0,0,1
1256979,ProGrow S2,SKU12321,Infant Formula,Casein-Based,12-24,900,Tin,34.42,30.45,Australia,Kosher,730,15,28,2.17,4.6,1,1,1
1515046,NutriStart Stage 3,SKU76466,Follow-On Formula,Casein-Based,12-24,400,Pouch,11.69,23.21,New Zealand,HACCP,730,20,28,2.07,4.29,0,0,1
1892210,BabyGold Organic S2,SKU64341,Infant Formula,Whey-Based,0-6,900,Pouch,27.7,17.04,New Zealand,HACCP,912,15,28,3.77,4.08,0,0,1
1458826,MilkPure Toddler,SKU54981,Follow-On Formula,Whey-Based,0-6,1800,Tin,10.95,29.48,New Zealand,Halal,548,18,25,2.45,4.68,0,0,1
1553743,MilkPure Infant,SKU44894,Follow-On Formula,Whey-Based,6-12,400,Tin,37.73,18.42,New Zealand,Kosher,548,15,30,2.95,3.37,0,1,1
1674567,AlphaFirst Colostrum,SKU42703,Follow-On Formula,Casein-Based,12-24,900,Pouch,56.2,25.93,USA,Halal,912,18,25,1.69,3.08,0,0,1
1141558,BabyGold Organic S1,SKU56409,Follow-On Formula,Whey-Based,0-6,900,Box,20.73,14.59,USA,None,365,20,28,3.49,4.87,0,1,1
1729364,MilkPure Follow-On,SKU79242,Infant Formula,Soy-Based,36+,600,Tin,60.27,27.44,Australia,ISO22000,730,18,28,3.72,5.37,1,0,1
1051369,NutriStart Stage 1,SKU47238,Infant Formula,Casein-Based,0-6,800,Carton,33.02,8.14,Australia,Halal,365,15,25,3.15,4.89,0,1,1
1817401,MilkPure Infant,SKU70967,Follow-On Formula,Whey-Based,24-36,600,Tin,29.03,9.74,New Zealand,HACCP,548,18,25,3.35,5.49,1,0,1
1991005,MilkPure Follow-On,SKU79610,Infant Formula,Soy-Based,0-6,800,Tin,56.03,17.96,USA,HACCP,365,18,25,2.46,2.55,0,0,1
1835107,BabyGold Organic S1,SKU77079,Infant Formula,Casein-Based,12-24,1000,Tin,45.81,23.17,Australia,Halal,730,15,28,1.92,5.14,0,0,1
1566501,ProGrow S1,SKU32674,Infant Formula,Amino Acid-Based,24-36,900,Pouch,34.85,17.74,New Zealand,HACCP,548,15,28,1.88,3.32,0,0,1
1883575,MilkPure Follow-On,SKU64714,Toddler Milk,Casein-Based,0-6,900,Carton,50.72,32.97,USA,Kosher,548,20,28,2.72,2.93,1,1,1
1489072,LactoFree Infant,SKU92012,Specialty Formula,Soy-Based,12-24,900,Carton,26.73,28.48,Australia,Halal,365,18,28,1.21,3.8,0,0,1
1452740,ProGrow S2,SKU29252,Toddler Milk,Casein-Based,24-36,400,Pouch,16.08,36.73,Netherlands,Organic,365,18,28,2.5,4.58,1,0,1
1338926,BabyGold Organic S1,SKU51874,Follow-On Formula,Amino Acid-Based,36+,400,Pouch,17.4,25.27,New Zealand,HACCP,365,20,30,1.93,4.92,0,1,0
1313719,MilkPure Infant,SKU36849,Specialty Formula,Whey-Based,12-24,400,Tin,62.7,7.76,Netherlands,Halal,912,18,28,2.63,4.08,0,0,1
1711243,BabyGold Organic S2,SKU43547,Specialty Formula,Soy-Based,0-6,400,Box,64.96,6.6,Australia,HACCP,548,18,30,3.07,3.53,1,1,0
1567439,ProGrow S2,SKU35272,Follow-On Formula,Soy-Based,36+,800,Tin,49.95,13.98,New Zealand,HACCP,548,18,25,1.56,3.69,0,1,1
1621239,NutriStart Stage 1,SKU19985,Infant Formula,Casein-Based,0-6,600,Tin,32.73,14.85,Ireland,HACCP,548,15,28,1.61,3.71,1,1,1
1984697,MilkPure Infant,SKU15921,Follow-On Formula,Whey-Based,0-6,200,Tin,28.12,16.17,New Zealand,HACCP,548,20,28,3.12,3.01,0,0,1
1678112,MilkPure Toddler,SKU74184,Follow-On Formula,Whey-Based,12-24,1000,Pouch,43.93,29.46,Netherlands,None,730,18,30,2.01,4.16,0,0,1
1078463,BabyGold Organic S1,SKU46561,Infant Formula,Whey-Based,0-6,1000,Tin,34.23,38.99,Netherlands,HACCP,548,20,30,1.34,5.17,0,0,1
1953601,ProGrow S2,SKU76982,Infant Formula,Casein-Based,12-24,1000,Pouch,41.13,5.61,Netherlands,None,365,15,30,1.78,3.54,0,1,0
1186611,BabyGold Organic S1,SKU23036,Specialty Formula,Whey-Based,0-6,800,Pouch,15.91,25.19,New Zealand,HACCP,912,15,28,1.77,2.54,0,0,1
1652207,NutriStart Stage 3,SKU39692,Infant Formula,Whey-Based,12-24,1800,Carton,32.75,33.15,New Zealand,Organic,365,20,25,1.27,2.87,1,1,1
1621324,ProGrow S2,SKU24885,Follow-On Formula,Casein-Based,6-12,600,Tin,18.36,39.89,Ireland,ISO22000,730,20,25,2.34,3.28,0,0,1
1148952,NutriStart Stage 1,SKU90796,Follow-On Formula,Hydrolyzed,6-12,900,Pouch,13.91,37.84,Netherlands,Organic,548,18,28,3.79,2.9,0,1,1
1413112,ProGrow S3,SKU10692,Follow-On Formula,Whey-Based,6-12,400,Tin,49.35,25.49,Netherlands,ISO22000,365,18,30,2.88,5.11,0,0,1
1811290,NutriStart Stage 2,SKU84576,Follow-On Formula,Casein-Based,12-24,400,Carton,47.33,31.53,Netherlands,Kosher,548,15,25,1.75,3.78,0,0,1
1121828,ProGrow S1,SKU61881,Toddler Milk,Soy-Based,24-36,1000,Pouch,28.58,12.35,Netherlands,HACCP,365,20,25,1.77,3.98,0,0,1
1957416,MilkPure Toddler,SKU24118,Infant Formula,Whey-Based,12-24,600,Tin,54.61,35.2,New Zealand,None,365,18,28,1.68,4.25,1,0,1
1315919,ProGrow S3,SKU78143,Follow-On Formula,Soy-Based,0-6,400,Tin,18.45,18.85,Netherlands,Kosher,730,20,28,2.49,3.94,0,0,1
1275830,MilkPure Follow-On,SKU39088,Infant Formula,Whey-Based,12-24,400,Tin,17.86,30.26,Germany,Kosher,730,18,25,2.95,3.6,0,1,0
1105221,MilkPure Infant,SKU38804,Follow-On Formula,Hydrolyzed,6-12,900,Carton,11.52,17.52,Netherlands,Kosher,730,18,25,2.08,4.67,1,0,0
1353260,NutriStart Stage 3,SKU19021,Infant Formula,Whey-Based,12-24,1000,Box,18.63,16.73,Ireland,HACCP,730,15,25,1.4,4.83,1,1,1
1504188,ProGrow S1,SKU26906,Infant Formula,Casein-Based,24-36,800,Carton,37.94,25.39,Germany,Halal,548,18,30,3.5,3.8,0,0,1
1221357,MilkPure Follow-On,SKU68783,Toddler Milk,Whey-Based,6-12,800,Pouch,31.8,14.5,New Zealand,ISO22000,912,18,25,3.26,2.56,0,0,1
1206674,AlphaFirst Colostrum,SKU31145,Specialty Formula,Whey-Based,0-6,900,Pouch,30.31,24.22,Netherlands,ISO22000,548,20,25,2.01,5.44,0,1,1
1652719,NutriStart Stage 3,SKU52032,Infant Formula,Whey-Based,12-24,800,Box,29.68,31.95,Ireland,None,548,20,28,2.83,2.78,1,0,1
1897894,ProGrow S1,SKU94521,Specialty Formula,Whey-Based,24-36,400,Box,63.75,35.8,New Zealand,None,912,15,28,2.4,5.08,0,0,1
1932376,ProGrow S1,SKU31473,Toddler Milk,Amino Acid-Based,0-6,400,Pouch,64.7,35.23,USA,None,548,18,30,1.64,3.19,1,1,1
1774724,NutriStart Stage 1,SKU90657,Infant Formula,Amino Acid-Based,6-12,800,Tin,29.89,30.15,Germany,ISO22000,365,20,25,1.44,4.25,0,0,0
1006107,MilkPure Toddler,SKU77372,Specialty Formula,Whey-Based,0-6,600,Tin,8.04,7.31,New Zealand,Kosher,365,15,28,3.7,2.56,0,1,1
