location_id,warehouse_zone,aisle,rack,shelf,bin,location_type,capacity_kg,capacity_units,current_occupancy_pct,temperature_controlled,min_temp_c,max_temp_c,humidity_controlled,last_audit_date,location_status,rack_height_m,load_type,barcode,is_active
6713252,D,8,2,6,3,Bulk,500,1607,28.56,0,18,8,0,2024-05-22,Available,4.52,Pallet,5380290102,1
6064310,C,16,18,7,1,Pick,500,1893,47.3,0,10,30,0,2024-04-13,Available,11.16,Bulk,1029003998,1
6314001,A,6,10,5,6,Pick,1000,1492,56.74,0,15,8,0,2024-09-25,Occupied,10.44,Tote,1620193414,1
6358669,C,20,13,3,5,Quarantine,2000,266,91.94,0,18,20,0,2024-03-20,Available,6.71,Carton,4839073195,1
6308882,F,2,5,2,3,Staging,1500,1354,75.54,1,18,30,0,2024-04-30,Reserved,7.27,Carton,3795749186,1
6497669,C,25,4,1,3,Quarantine,3000,1963,73.37,1,15,30,0,2024-05-08,Available,11.04,Pallet,6923099817,0
6154065,B,9,10,6,7,Bulk,1500,905,33.9,1,15,8,0,2025-04-20,Available,4.99,Bulk,6557997661,1
6851229,E,24,4,2,2,Bulk,2000,1746,55.92,1,18,8,0,2024-09-25,Reserved,7.95,Carton,9042112338,1
6859810,D,17,8,2,8,Pick,2000,1568,73.47,0,18,20,0,2024-12-11,Reserved,2.52,Bulk,4598350976,1
6111986,E,10,6,6,4,Pick,1500,610,46.24,0,2,20,0,2024-09-09,Occupied,5.77,Pallet,4439125854,1
6669877,A,28,7,5,4,Bulk,500,892,83.83,0,18,8,1,2024-01-04,Blocked,8.03,Tote,7687630594,1
6735532,D,28,6,5,9,Pick,1000,1419,73.95,0,2,25,0,2024-10-18,Occupied,3.71,Tote,4937346774,1
6627482,C,12,11,2,7,Bulk,3000,937,86.73,1,2,8,0,2024-12-19,Reserved,5.29,Bulk,1099419138,1
6522737,C,12,12,4,6,Pick,5000,78,41.7,0,2,30,0,2024-07-26,Available,10.48,Pallet,2694250100,1
6103934,A,8,14,1,5,Returns,2000,74,40.54,1,2,25,1,2025-03-03,Available,7.18,Pallet,5656486681,1
6468453,F,21,5,2,9,Bulk,500,402,66.35,0,18,30,0,2025-03-10,Occupied,9.11,Carton,8997533823,1
6764833,B,11,1,2,2,Bulk,5000,1400,63.45,1,10,20,1,2024-10-21,Occupied,9.48,Pallet,4316178739,0
7886535,C,22,10,7,4,Pick,1000,873,0.0,0,18,30,0,2024-06-23,Available,10.85,Pallet,6985837133,0
6805460,C,6,7,4,8,Staging,500,880,56.22,0,2,8,0,2024-04-29,Available,5.49,Bulk,3459257323,0
6111174,C,23,9,3,3,Pick,3000,271,75.16,1,2,8,0,2024-07-13,Occupied,4.22,Tote,7008579618,1
6632597,C,27,1,5,9,Pick,5000,1993,67.37,0,2,25,0,2024-05-11,Available,9.39,Tote,6777051040,0
6295544,B,9,3,1,1,Pick,2000,482,53.5,1,2,20,0,2024-02-14,Occupied,9.34,Pallet,5083212860,1
6756169,D,11,12,7,4,Staging,1000,681,66.99,0,18,20,0,2024-05-30,Occupied,4.71,Pallet,6291910754,1
6727060,F,23,6,1,7,Bulk,5000,1455,72.76,0,10,8,1,2024-10-07,Occupied,6.9,Bulk,6457151984,0
7434269,C,8,8,1,1,Pick,2000,1767,0.0,0,18,25,0,2024-08-19,Available,9.82,Pallet,3553610017,0
6000843,C,15,16,1,2,Overflow,1000,1265,34.54,0,2,20,0,2024-06-15,Reserved,6.46,Bulk,2952895695,1
6048609,D,23,8,2,6,Bulk,2000,973,52.03,1,10,8,0,2024-09-14,Occupied,7.64,Carton,2580489782,1
6222795,E,24,10,7,6,Quarantine,1000,1339,29.13,1,18,20,0,2024-07-21,Maintenance,11.31,Carton,8291960515,1
6787382,A,24,16,7,9,Staging,1500,621,79.94,0,15,20,0,2025-01-08,Available,10.23,Pallet,4318129505,1
6992193,C,8,16,5,1,Bulk,1000,1845,59.3,0,18,25,0,2024-09-14,Occupied,11.62,Carton,1184236288,1
6739104,C,16,16,5,7,Bulk,2000,1469,3.85,1,15,30,0,2025-02-24,Available,7.2,Carton,3672924274,1
6407892,E,11,2,4,8,Quarantine,500,1854,41.6,1,10,8,1,2025-04-06,Maintenance,11.74,Pallet,6481041086,1
6404627,D,3,3,4,6,Bulk,500,755,81.59,0,2,25,0,2024-08-22,Available,11.89,Carton,5673346262,1
6586386,A,2,8,4,7,Pick,3000,1241,75.08,0,2,30,0,2024-01-02,Occupied,11.68,Tote,4415632046,1
6392615,B,27,15,7,5,Pick,2000,852,35.13,0,10,8,0,2024-07-11,Blocked,2.73,Tote,9663649087,1
6267858,C,21,5,6,6,Bulk,2000,613,54.31,1,10,25,1,2024-07-02,Available,9.21,Tote,4176079861,1
6811042,A,29,5,7,8,Overflow,2000,1325,43.8,0,10,8,0,2024-10-01,Available,2.93,Pallet,5167234816,1
6613836,A,2,19,5,6,Pick,1000,516,32.06,0,10,30,0,2025-01-17,Maintenance,9.72,Tote,2977803379,1
6402811,C,16,9,5,7,Pick,3000,89,80.62,1,18,25,0,2025-04-27,Available,9.34,Tote,7645387575,1
6284129,B,16,4,7,5,Quarantine,3000,632,18.93,1,2,8,0,2024-01-06,Occupied,9.2,Tote,6916480649,1
6119328,E,2,17,1,2,Bulk,1500,1468,57.39,0,18,8,0,2025-02-20,Blocked,3.55,Tote,9503256920,1
6551915,B,25,11,4,3,Overflow,2000,1074,61.19,0,2,20,1,2024-03-06,Occupied,6.65,Carton,5873781312,1
6047793,D,12,14,7,6,Bulk,3000,177,80.62,0,15,8,1,2024-04-13,Occupied,2.61,Pallet,4987872096,1
6858308,C,7,4,2,3,Bulk,2000,1470,56.48,0,15,25,1,2025-02-26,Available,3.72,Pallet,6662015907,0
6712475,B,16,15,3,9,Bulk,1500,1101,37.22,0,10,8,0,2024-03-11,Occupied,4.91,Pallet,5913541762,1
6355006,B,28,10,5,4,Staging,2000,494,69.8,0,15,30,0,2025-01-18,Available,2.66,Pallet,8573845191,1
6772045,B,17,11,2,9,Pick,3000,698,82.15,0,10,8,0,2025-04-14,Available,9.07,Tote,7514352578,1
6049406,C,6,17,2,2,Bulk,1000,903,70.92,0,15,20,0,2024-06-03,Available,6.86,Pallet,5198252218,0
6294610,C,29,2,5,2,Bulk,1000,1939,68.56,0,18,25,0,2024-11-04,Available,7.81,Pallet,6012424140,1
6236212,B,19,15,3,6,Bulk,1500,1717,40.45,1,18,20,1,2024-09-19,Reserved,7.44,Pallet,7397026211,0
6766860,A,10,11,7,3,Pick,1000,1246,79.76,1,18,30,1,2024-06-24,Occupied,9.03,Tote,2233349648,1
6617406,C,15,18,6,8,Bulk,2000,299,63.79,0,18,30,0,2025-05-01,Maintenance,4.54,Tote,8452477421,1
6868907,C,12,9,7,4,Pick,1500,661,69.44,0,2,30,0,2025-02-10,Occupied,8.79,Pallet,7081974379,1
6664844,E,13,14,1,5,Overflow,1000,995,64.82,0,18,25,0,2024-05-31,Available,6.15,Tote,5952958507,1
6822286,D,11,10,2,5,Bulk,1000,1174,79.92,0,2,8,1,2024-01-02,Available,6.24,Tote,5518651644,1
6986946,E,26,2,5,3,Bulk,1000,950,59.09,1,18,20,1,2024-09-22,Occupied,9.12,Pallet,2709593054,1
6231561,D,7,12,6,9,Bulk,500,1159,38.68,0,15,20,0,2024-04-26,Available,6.72,Tote,9898703254,0
6373018,C,7,12,4,6,Bulk,2000,172,78.08,0,15,20,1,2024-08-31,Blocked,4.62,Tote,8354032703,1
6385229,C,7,17,2,6,Pick,500,1246,70.89,0,18,8,1,2025-02-20,Occupied,7.29,Pallet,7371114970,1
6265967,B,6,17,3,2,Staging,2000,199,62.89,0,18,20,0,2024-10-17,Occupied,11.57,Carton,2680567672,1
7849142,E,7,4,7,7,Staging,1500,1261,0.0,1,15,20,0,2024-10-08,Available,3.66,Carton,6884654528,0
6933766,A,20,7,4,2,Bulk,3000,1925,75.53,1,15,20,0,2024-06-30,Available,5.39,Pallet,9159481511,1
6218548,B,7,18,7,4,Bulk,1500,578,84.49,0,15,20,0,2024-09-08,Available,3.25,Tote,3559148201,1
6327894,A,3,9,5,4,Overflow,1000,1229,28.93,0,10,8,0,2024-06-05,Available,6.98,Tote,2470011981,1
6844864,B,27,8,5,2,Bulk,1000,776,21.87,0,10,25,1,2024-02-08,Blocked,3.42,Bulk,7850772162,1
6792234,B,15,10,6,4,Bulk,3000,714,90.2,1,15,8,0,2024-07-25,Available,9.4,Tote,9719528126,1
6648892,A,2,14,5,5,Bulk,5000,605,41.79,0,10,20,0,2024-01-20,Available,6.94,Tote,6565470641,1
6775564,B,21,10,2,9,Bulk,500,1502,68.1,0,18,30,0,2025-02-08,Occupied,9.98,Bulk,9142931282,1
6801287,F,27,1,3,4,Bulk,1500,334,71.96,1,18,25,0,2025-03-27,Available,4.65,Tote,4550460681,1
6270692,E,11,12,2,4,Pick,1000,1206,88.19,0,18,30,0,2025-01-21,Available,4.47,Carton,8329499009,1
6184819,B,16,17,5,5,Bulk,2000,1955,53.84,0,18,30,1,2024-03-14,Available,11.91,Bulk,1905611246,1
6512114,C,6,4,3,5,Bulk,500,1977,68.46,0,18,20,0,2024-06-16,Occupied,2.66,Carton,3812232424,1
6087986,E,20,10,3,1,Overflow,500,1054,61.54,1,15,8,1,2024-11-29,Occupied,11.89,Pallet,2545080663,1
6936919,B,9,9,1,7,Quarantine,2000,181,59.69,0,15,25,1,2024-02-06,Available,11.66,Tote,5627762463,1
6868751,D,8,3,6,4,Staging,1000,715,72.48,0,15,30,0,2024-02-17,Available,9.74,Pallet,9048125194,0
6059688,C,16,1,5,3,Pick,2000,362,60.26,1,10,20,0,2024-09-16,Available,7.34,Pallet,8871951450,1
6905729,B,3,14,1,4,Pick,1500,188,74.99,1,2,20,0,2024-06-21,Occupied,7.23,Tote,2511151313,1
6898711,A,12,8,2,7,Bulk,1500,1689,48.44,1,10,25,0,2024-03-19,Available,3.67,Tote,7122745897,1
6581611,D,25,15,2,9,Bulk,1000,522,62.63,1,10,20,0,2024-05-04,Occupied,10.38,Bulk,5560426208,1
6526127,F,14,8,2,7,Pick,1500,279,60.73,0,10,25,0,2025-01-26,Available,6.27,Pallet,6439354064,1
6499735,E,16,4,3,8,Overflow,2000,813,51.32,0,2,25,1,2024-11-02,Occupied,10.75,Pallet,2280136489,1
6935752,B,15,14,4,1,Pick,1500,64,72.37,0,18,20,1,2025-03-26,Occupied,10.33,Pallet,7528764194,1
6028223,B,21,19,6,8,Pick,1000,582,60.23,1,18,8,0,2025-04-13,Available,3.9,Tote,2773701414,1
6225151,B,3,14,7,4,Overflow,500,640,90.17,0,15,30,0,2024-06-11,Available,4.08,Pallet,4380711065,0
6034930,E,9,6,1,2,Bulk,1500,363,81.14,1,2,25,0,2024-04-22,Available,7.61,Pallet,2225035146,1
6244596,D,22,11,7,2,Bulk,2000,1795,86.69,0,10,25,0,2024-04-17,Occupied,9.17,Pallet,9775038090,1
6405284,D,19,13,6,4,Pick,3000,939,82.69,0,18,20,1,2025-02-25,Available,11.11,Tote,7558840602,1
6052875,C,9,1,4,3,Overflow,1500,654,86.7,0,2,20,1,2024-02-03,Blocked,7.29,Bulk,1553892919,1
6183927,E,8,14,6,8,Overflow,1500,1194,65.19,1,18,25,1,2025-04-01,Blocked,5.77,Tote,1641863074,1
6417807,A,1,10,4,9,Pick,3000,1514,83.78,0,15,30,0,2025-04-02,Occupied,3.61,Carton,3095739009,0
6594452,A,4,17,6,3,Overflow,1500,298,70.66,0,18,8,0,2025-05-07,Available,6.95,Pallet,3655131025,1
6917870,C,13,5,1,8,Returns,1500,783,64.34,0,18,25,1,2024-05-22,Available,9.73,Pallet,1231076497,1
6173811,E,2,19,3,5,Returns,1000,1181,73.19,0,10,8,1,2025-05-09,Occupied,2.6,Tote,6653044988,1
6733627,A,28,2,3,4,Bulk,500,668,26.2,0,15,25,0,2025-02-15,Blocked,5.35,Pallet,9949633346,1
6185557,D,17,13,5,5,Bulk,1000,1785,59.36,0,2,30,0,2024-03-01,Available,7.02,Pallet,1391285974,1
6934169,F,8,2,6,4,Pick,1500,1106,54.84,1,18,30,1,2024-05-16,Available,9.09,Bulk,4542780257,0
6724423,A,2,12,4,4,Quarantine,3000,1726,39.07,1,10,20,0,2024-09-15,Occupied,6.3,Tote,3185793915,1
6765763,B,25,15,3,2,Overflow,1000,427,42.71,0,2,30,0,2025-02-17,Available,10.9,Pallet,1349558703,1
6045468,A,25,12,1,4,Pick,1500,727,75.12,1,2,30,1,2024-03-28,Available,8.49,Pallet,5356298016,1
