shipment_id,route_id,order_id,shipment_date,scheduled_delivery_date,actual_delivery_date,product_id,quantity_units,weight_kg,volume_m3,temperature_min_c,temperature_max_c,tracking_number,customs_cleared,customs_clearance_date,total_cost_usd,insurance_value_usd,delivery_status,delay_reason,customer_satisfaction_score,route_name,origin_warehouse,destination_city,destination_country,distance_km,estimated_duration_hours,transport_mode,carrier_name,carrier_code,contract_type,base_cost_usd,cost_per_kg_usd,route_status,frequency_per_week,customs_required,cold_chain_required,max_payload_kg,avg_delay_hours,is_active,actual_duration_days,scheduled_duration_days,delay_days,is_delayed,shipment_month,shipment_day_of_week,real_cost_per_kg_usd,cold_chain_excursion_detected
40294647,7947149,2883338,2025-03-08,2025-03-16,2025-03-18,1086650,261,255.63,0.511,2,20,630362976781,1,2024-11-07,254.18,2689.2,Delivered,None,4.3,RT-4633,Jakarta-WH2,Bali,Indonesia,624.3,40.0,Truck,SiCepat,CR4162,Contracted,941.66,1.223,Inactive,5,1,0,2000,11.6,1,10.0,8.0,2.0,1,3,5,0.9943277393107226,0
48653548,7821376,2246789,2025-02-21,2025-03-05,2025-03-05,1723948,325,191.18,0.595,10,20,127639669036,0,,413.14,955.51,Delivered,None,3.7,RT-9175,Jakarta-WH1,Palembang,Singapore,643.1,31.0,Courier,Pos Indonesia,CR8965,Dedicated,25.52,1.664,Active,2,1,0,500,2.9,1,12.0,12.0,0.0,0,2,4,2.161000104613453,0
45343943,7363369,2976808,2023-12-23,2024-01-01,2024-01-02,1815885,159,192.5,1.747,10,8,348810100320,0,,2147.01,782.59,Delivered,None,2.9,RT-3366,Bandung-WH,Semarang,Indonesia,124.8,19.6,Rail,J&T,CR3075,Contracted,617.64,1.79,Active,1,0,1,10000,0.25,0,10.0,9.0,1.0,1,12,5,11.153298701298702,0
42455719,7283799,2992020,2022-06-26,2022-07-04,2022-07-06,1169450,230,779.5,0.448,18,30,493735165133,0,,1374.46,2335.85,Delivered,None,4.3,RT-6299,Jakarta-WH1,Bandung,Indonesia,139.9,85.3,Sea,SiCepat,CR1787,Spot,221.88,2.994,Active,3,1,0,10000,6.1,1,10.0,8.0,2.0,1,6,6,1.7632584990378448,0
47870896,7638865,2924585,2024-11-25,2024-12-01,2024-12-01,1261721,189,449.62,1.05,10,25,345731553390,0,,775.53,291.97,Delayed,None,3.5,RT-5127,Jakarta-WH1,Jakarta,Indonesia,65.6,27.3,Truck,JNE,CR3794,Contracted,20.0,3.366,Active,5,0,0,1000,0.04,1,6.0,6.0,0.0,0,11,0,1.7248565455273341,0
46676279,7131474,2797456,2023-04-28,2023-05-06,2023-05-08,1480261,229,171.53,0.078,15,30,159567215155,0,,504.93,308.07,Delivered,None,3.8,RT-5252,Jakarta-WH2,Yogyakarta,Indonesia,265.1,13.4,Rail,Pos Indonesia,CR1454,Contracted,86.33,2.319,Active,3,0,1,5000,0.4,1,10.0,8.0,2.0,1,4,4,2.943683320701918,1
48182611,7587482,2142635,2024-01-14,2024-01-26,2024-01-30,1677493,123,196.13,0.704,18,8,566881547413,0,,315.57,1120.58,Delivered,Traffic,2.6,RT-3228,Jakarta-WH2,Jakarta,Indonesia,454.2,24.4,Air,SiCepat,CR7653,Dedicated,21.98,1.703,Active,5,0,0,2000,5.15,1,16.0,12.0,4.0,1,1,6,1.608983837250803,0
46995341,7351495,2923983,2023-02-25,2023-03-09,2023-03-10,1002986,100,233.8,0.841,18,30,179819467616,0,,407.71,1361.85,Delivered,Weather,3.1,RT-7024,Surabaya-WH,Semarang,Indonesia,1141.5,17.4,Truck,FedEx,CR5529,Spot,185.26,0.067,Active,5,0,1,20000,1.1,1,13.0,12.0,1.0,1,2,5,1.7438408896492728,1
49191718,7688112,2941789,2023-03-31,2023-04-03,2023-04-04,1530941,224,55.5,2.715,18,20,859713860685,0,,95.33,2415.87,Delivered,Address Error,,RT-7926,Jakarta-WH2,Semarang,Indonesia,287.7,28.4,Truck,SiCepat,CR7655,On-Demand,45.26,3.132,Active,1,1,0,1000,0.12,1,4.0,3.0,1.0,1,3,4,1.7176576576576577,0
40303378,7319496,2685008,2023-11-19,2023-12-02,2023-12-03,1087501,237,130.09,1.408,10,25,677617205304,0,,20.0,3328.18,Delivered,Weather,3.2,RT-7182,Surabaya-WH,Jakarta,Indonesia,142.7,13.4,Truck,JNE,CR4532,Spot,421.96,2.372,Active,2,1,1,10000,1.0,1,14.0,13.0,1.0,1,11,6,0.15373971865631486,1
47812213,7330576,2951633,2025-03-30,2025-04-10,2025-04-10,1941070,158,28.92,0.299,10,30,792118786294,1,2024-01-04,519.66,4977.92,Delivered,None,3.1,RT-2483,Jakarta-WH2,Bandung,Indonesia,478.3,14.4,Air,JNE,CR8923,Contracted,651.25,1.353,Active,3,0,0,2000,2.52,0,11.0,11.0,0.0,0,3,6,17.96887966804979,0
43247444,7782390,2982310,2025-01-20,2025-01-22,2025-01-23,1137183,238,85.21,8.137,10,25,532346096790,0,,96.34,2730.88,Delivered,Traffic,,RT-5484,Jakarta-WH1,Semarang,Indonesia,47.2,14.9,Truck,Pos Indonesia,CR6197,Contracted,196.75,0.919,Active,5,0,1,2000,15.21,1,3.0,2.0,1.0,1,1,0,1.1306184720103276,1
47845377,7718255,2237395,2025-01-25,2025-01-28,2025-01-30,1800523,135,380.17,0.378,2,25,987743491688,1,2023-12-03,960.87,6153.86,Delivered,Customs,3.9,RT-4388,Jakarta-WH1,Surabaya,Indonesia,65.9,5.0,Air,JNE,CR3770,Contracted,825.09,0.6,Inactive,5,1,0,2000,4.74,0,5.0,3.0,2.0,1,1,5,2.5274745508588263,0
40751226,7597466,2833153,2023-03-29,2023-04-07,2023-04-07,1739756,198,173.46,0.077,15,30,513006870364,1,2022-11-10,108.74,1180.33,Delivered,None,2.8,RT-5132,Surabaya-WH,Medan,Indonesia,26.9,8.5,Courier,DHL,CR3340,Contracted,215.33,3.125,Active,5,1,0,2000,2.71,1,9.0,9.0,0.0,0,3,2,0.6268880433529344,0
46902109,7571060,2623814,2025-01-10,2025-01-13,2025-01-13,1070927,510,768.86,0.962,2,20,719957512365,0,,1334.64,4125.46,In-Transit,None,,RT-5803,Bandung-WH,Bandung,Indonesia,132.7,2.2,Truck,DHL,CR7650,Spot,64.86,0.788,Active,2,0,1,5000,1.04,1,3.0,3.0,0.0,0,1,4,1.7358686887079573,1
45567084,7881897,9962226,2024-07-22,2024-08-04,2024-08-05,1941165,285,523.06,0.337,15,20,607679366016,0,,3004.79,6293.51,Delayed,None,,RT-3556,Medan-WH,Bandung,Malaysia,105.8,1.9,Sea,JNE,CR9679,Spot,20.0,3.231,Inactive,3,0,1,2000,1.46,1,14.0,13.0,1.0,1,7,0,5.74463732650174,1
48312318,7015961,2199028,2023-09-15,2023-09-27,2023-09-27,1663868,513,268.77,0.202,10,25,472176534036,0,,540.94,285.66,Delivered,None,4.8,RT-6792,Jakarta-WH1,Yogyakarta,Indonesia,96.0,31.4,Truck,JNE,CR6343,Spot,378.2,3.377,Active,5,1,0,1000,0.7,1,12.0,12.0,0.0,0,9,4,2.0126502213788746,0
45163208,7348155,2883813,2023-03-09,2023-03-13,2023-03-18,1194267,248,505.25,0.577,10,20,796237929693,0,,56.03,3076.46,In-Transit,None,4.0,RT-1908,Jakarta-WH1,Surabaya,Indonesia,1064.5,1.0,Truck,Pos Indonesia,CR9203,Contracted,387.94,0.573,Active,1,0,1,2000,0.18,1,9.0,4.0,5.0,1,3,3,0.1108955962394854,1
46472485,7985070,2059593,2023-12-03,2023-12-13,2023-12-14,1666349,331,57.08,1.438,15,30,973239492565,0,,1067.67,1720.18,Failed,None,3.3,RT-7562,Bandung-WH,Bandung,Malaysia,977.7,1.0,Truck,Tiki,CR9490,Dedicated,28.33,2.804,Active,2,0,0,1000,1.16,1,11.0,10.0,1.0,1,12,6,18.70480028030834,0
47053815,7777918,2390357,2023-02-04,2023-02-08,2023-02-09,1027067,584,4.96,0.322,15,30,356064556906,1,2024-07-05,49.06,1623.37,Delayed,None,4.6,RT-4262,Jakarta-WH1,Jakarta,Indonesia,37.7,27.3,Air,Tiki,CR2241,On-Demand,382.88,3.376,Suspended,2,0,1,10000,5.33,1,5.0,4.0,1.0,1,2,5,9.891129032258066,1
47134680,7760462,2157574,2023-03-18,2023-03-24,2023-03-28,1183698,231,65.09,2.238,2,25,610678538572,0,,101.7,5091.81,Delivered,None,,RT-3831,Jakarta-WH2,Yogyakarta,Malaysia,419.8,29.4,Truck,JNE,CR4006,Contracted,365.46,1.823,Active,7,1,0,5000,0.83,1,10.0,6.0,4.0,1,3,5,1.5624519895529267,0
44232477,7019900,2331907,2025-04-16,2025-04-20,2025-04-22,1677470,137,176.13,2.254,18,25,375336391971,0,,541.71,1160.36,Delivered,None,3.4,RT-7922,Jakarta-WH2,Surabaya,Indonesia,833.3,20.8,Sea,DHL,CR6612,Contracted,321.15,2.448,Active,5,0,0,1000,9.36,1,6.0,4.0,2.0,1,4,2,3.0756259580991316,0
44131882,7535247,2187259,2025-04-29,2025-05-07,2025-05-08,1305212,345,392.19,1.378,15,25,734660858125,1,2024-02-08,120.94,489.23,In-Transit,Customs,4.6,RT-9017,Medan-WH,Bandung,Malaysia,272.4,51.8,Truck,J&T,CR9097,Contracted,70.84,3.224,Active,1,0,0,5000,1.6,1,9.0,8.0,1.0,1,4,1,0.3083709426553456,0
45580404,7245954,2736338,2023-11-26,2023-11-28,2023-11-29,1719803,335,181.09,0.861,10,30,370405813912,0,,2323.84,3044.25,In-Transit,None,4.0,RT-6617,Jakarta-WH2,Jakarta,Indonesia,111.5,9.1,Truck,FedEx,CR4540,Contracted,480.59,3.27,Inactive,3,0,0,20000,1.42,1,3.0,2.0,1.0,1,11,6,12.832514219448893,0
44877879,7511515,2860262,2023-05-01,2023-05-05,2023-05-06,1253302,196,518.57,0.863,2,20,819959456113,0,,707.32,690.68,Delivered,None,,RT-2065,Jakarta-WH1,Makassar,Indonesia,383.0,4.2,Truck,J&T,CR9674,Contracted,65.85,1.996,Inactive,5,1,0,5000,3.44,1,5.0,4.0,1.0,1,5,0,1.3639817189579033,0
48309054,7295812,2921342,2023-03-11,2023-03-12,2023-03-14,1174839,392,1089.46,0.391,18,8,258882347374,0,,607.97,3336.27,Delivered,None,,RT-9311,Jakarta-WH2,Makassar,Indonesia,131.0,9.0,Rail,SiCepat,CR4128,Contracted,20.0,1.441,Seasonal,3,0,0,2000,9.18,1,3.0,1.0,2.0,1,3,5,0.5580471059056781,0
41785573,7779161,2178487,2023-10-30,2023-11-03,2023-11-03,1769524,230,77.61,4.303,18,25,119601625105,0,,507.86,2962.97,Delivered,None,3.2,RT-4448,Jakarta-WH1,Semarang,Vietnam,316.9,1.0,Truck,J&T,CR7086,Contracted,305.03,0.591,Active,3,1,0,5000,0.45,1,4.0,4.0,0.0,0,10,0,6.54374436283984,0
47951988,7833643,2664775,2025-04-10,2025-04-22,2025-04-25,1967159,152,288.88,1.725,2,30,166171458436,0,,443.25,258.76,In-Transit,None,4.2,RT-7440,Surabaya-WH,Surabaya,Indonesia,693.0,105.1,Truck,JNE,CR5008,Dedicated,153.05,1.968,Active,7,0,1,1000,14.13,1,15.0,12.0,3.0,1,4,3,1.5343741345887567,1
49947608,7754550,2551522,2024-02-07,2024-02-19,2024-02-21,1488097,220,454.99,5.517,15,8,786060073160,0,,399.9,242.05,In-Transit,None,4.4,RT-3743,Jakarta-WH1,Makassar,Indonesia,1297.2,23.4,Truck,Pos Indonesia,CR4554,Spot,290.97,3.483,Active,2,0,0,1000,0.18,1,14.0,12.0,2.0,1,2,2,0.8789204158333149,0
41473002,7347871,2658513,2023-12-14,2023-12-16,2023-12-17,1598581,305,567.54,1.584,18,25,241846324071,0,,20.0,6048.09,Delivered,Weather,4.3,RT-7724,Jakarta-WH1,Surabaya,Indonesia,56.7,13.4,Air,J&T,CR9203,Dedicated,515.54,2.847,Active,2,1,0,5000,5.68,1,3.0,2.0,1.0,1,12,3,0.03523980688585827,0
47795337,7327607,2768913,2024-05-30,2024-06-10,2024-06-11,1460446,237,354.09,3.532,10,8,313769495966,0,,808.0,1508.46,Failed,Customs,4.2,RT-3068,Jakarta-WH1,Jakarta,Indonesia,336.8,29.3,Truck,JNE,CR9221,Dedicated,20.0,0.506,Inactive,3,0,0,1000,1.3,0,12.0,11.0,1.0,1,5,3,2.2819057301815926,0
43930227,7603651,2754790,2023-09-03,2023-09-04,2023-09-05,1266377,276,521.2,0.67,15,25,381643582054,0,,217.49,1985.3,Delivered,Traffic,4.7,RT-8486,Jakarta-WH1,Jakarta,Indonesia,763.2,3.9,Truck,Pos Indonesia,CR7011,Contracted,896.86,2.541,Active,1,0,1,1000,1.56,1,2.0,1.0,1.0,1,9,6,0.4172870299309286,1
45591044,7760783,2505123,2023-03-13,2023-03-22,2023-03-24,1267920,203,840.16,1.356,18,30,146629531760,0,,309.98,2167.03,Delivered,None,4.5,RT-7106,Medan-WH,Bandung,Indonesia,192.1,10.8,Truck,JNE,CR3791,Contracted,33.79,1.517,Seasonal,7,1,1,5000,0.37,1,11.0,9.0,2.0,1,3,0,0.36895353266044567,1
42406392,7877030,2195793,2023-01-14,2023-01-15,2023-01-20,1173087,338,562.83,0.687,10,25,916034763898,0,,20.0,1225.84,Delivered,None,,RT-3055,Surabaya-WH,Jakarta,Philippines,443.1,84.7,Air,JNE,CR4366,Dedicated,327.87,0.534,Active,1,1,1,1000,4.99,1,6.0,1.0,5.0,1,1,5,0.035534708526553306,1
44916276,7446032,2632353,2024-06-24,2024-06-30,2024-07-02,1462556,174,207.55,0.497,18,20,267984886773,0,,669.19,2108.05,Delayed,None,,RT-5538,Jakarta-WH2,Jakarta,Indonesia,39.1,17.6,Truck,SiCepat,CR6758,Spot,218.37,0.466,Seasonal,2,0,1,10000,7.0,1,8.0,6.0,2.0,1,6,0,3.22423512406649,1
40536373,7297620,2048949,2025-04-12,2025-04-17,2025-04-18,1010746,233,422.33,1.945,10,20,207656617053,1,2023-11-20,664.08,448.64,In-Transit,None,4.3,RT-1250,Jakarta-WH1,Bandung,Indonesia,193.1,21.2,Sea,SiCepat,CR1269,Contracted,102.22,3.139,Active,3,0,0,2000,4.86,1,6.0,5.0,1.0,1,4,5,1.5724196718206143,0
48798414,7328904,2633970,2024-11-04,2024-11-08,2024-11-09,1916854,167,391.22,0.306,10,30,261260149220,0,,1454.67,403.52,Delivered,None,3.9,RT-1446,Jakarta-WH1,Jakarta,Indonesia,108.3,44.7,Sea,DHL,CR1951,Dedicated,624.3,1.507,Active,2,0,1,5000,0.74,1,5.0,4.0,1.0,1,11,0,3.718291498389653,1
47151976,7121879,2381806,2025-01-28,2025-02-07,2025-02-09,1983695,217,40.82,1.486,2,20,238096015755,0,,20.0,966.75,Delivered,None,1.9,RT-1440,Jakarta-WH2,Semarang,Indonesia,600.3,35.6,Truck,SiCepat,CR7216,Dedicated,202.89,0.087,Inactive,7,0,0,2000,1.33,0,12.0,10.0,2.0,1,1,1,0.4899559039686428,0
41541323,7209136,2623498,2024-02-02,2024-02-07,2024-02-07,1615848,202,77.57,2.153,15,25,160053518325,1,2024-05-15,966.9,1059.25,Delivered,None,4.3,RT-6310,Jakarta-WH1,Semarang,Vietnam,152.4,51.9,Rail,J&T,CR2113,On-Demand,22.18,1.672,Active,5,0,0,1000,0.69,1,5.0,5.0,0.0,0,2,4,12.46487043960294,0
48084741,7435299,2665229,2025-03-09,2025-03-20,2025-03-21,1587449,243,691.71,0.186,18,8,939831711476,0,,398.48,4895.36,Delivered,None,4.7,RT-3138,Surabaya-WH,Jakarta,Malaysia,393.2,19.3,Sea,SiCepat,CR2646,On-Demand,23.24,1.712,Active,2,0,1,2000,3.39,1,12.0,11.0,1.0,1,3,6,0.5760795709184485,0
43219278,7102428,2571896,2024-09-18,2024-10-01,2024-10-02,1354534,248,17.68,0.544,10,20,810771760400,0,,21.49,6842.92,Delivered,Weather,3.5,RT-6420,Jakarta-WH2,Bandung,Indonesia,636.2,8.4,Sea,JNE,CR6528,Contracted,195.03,1.194,Active,5,0,0,5000,0.23,1,14.0,13.0,1.0,1,9,2,1.215497737556561,0
49450712,7464928,2174383,2024-11-10,2024-11-14,2024-11-14,1661170,334,54.41,2.669,15,30,413012914300,0,,353.82,948.21,Delivered,None,4.0,RT-7824,Bandung-WH,Manado,Indonesia,495.9,87.4,Air,JNE,CR6846,Contracted,52.8,1.805,Active,3,1,0,5000,1.35,1,4.0,4.0,0.0,0,11,6,6.502848741040251,0
49321237,7620212,2883538,2024-06-27,2024-07-04,2024-07-06,1191213,248,123.88,1.447,18,8,952987865874,0,,337.5,2152.86,Delivered,None,4.5,RT-9920,Jakarta-WH1,Jakarta,Indonesia,351.4,12.5,Air,SiCepat,CR1041,Dedicated,341.03,3.409,Active,5,1,0,500,1.69,1,9.0,7.0,2.0,1,6,3,2.724410720051663,0
46556879,7393452,2316045,2024-01-27,2024-01-28,2024-01-29,1832693,341,143.05,0.119,15,20,124376355805,0,,96.76,1565.77,Delivered,None,4.2,RT-2746,Jakarta-WH2,Medan,Indonesia,418.9,48.2,Courier,DHL,CR2736,Contracted,35.25,1.827,Seasonal,3,0,0,5000,0.93,1,2.0,1.0,1.0,1,1,5,0.6764068507514854,0
49941028,7048411,2108337,2024-07-16,2024-07-20,2024-07-22,1473685,247,302.08,1.906,18,8,101610333593,0,,498.83,715.99,Delivered,Capacity,3.3,RT-2646,Jakarta-WH1,Semarang,Indonesia,173.2,14.3,Truck,Pos Indonesia,CR7366,Spot,167.84,1.928,Inactive,5,1,1,20000,1.01,1,6.0,4.0,2.0,1,7,1,1.6513175317796611,0
49302291,7386016,2914331,2022-10-14,2022-10-20,2022-10-24,1400167,144,160.11,0.891,18,25,378347101909,1,2023-06-08,139.45,3372.66,Delivered,Customs,2.8,RT-7748,Surabaya-WH,Jakarta,Vietnam,335.7,2.8,Courier,DHL,CR4326,Contracted,147.16,0.509,Inactive,1,0,1,1000,6.1,1,10.0,6.0,4.0,1,10,4,0.8709637124476921,1
44060357,7482673,2210674,2023-08-17,2023-08-21,2023-08-21,1927686,117,99.57,2.001,18,30,497651540209,1,2022-09-25,189.17,1388.28,In-Transit,None,4.3,RT-6508,Jakarta-WH1,Palembang,Indonesia,588.2,47.5,Sea,Tiki,CR5447,Spot,46.55,1.437,Suspended,3,1,1,1000,1.0,1,4.0,4.0,0.0,0,8,3,1.8998694385859194,1
46307728,7263618,2366167,2024-09-07,2024-09-10,2024-09-13,1575840,279,943.66,1.012,15,25,351496801592,0,,1827.26,484.07,Delivered,Traffic,,RT-1464,Medan-WH,Jakarta,Indonesia,529.6,4.3,Rail,FedEx,CR8751,Contracted,59.01,2.308,Active,3,0,0,2000,1.99,1,6.0,3.0,3.0,1,9,5,1.9363541953669754,0
42048614,7700084,2841360,2024-07-04,2024-07-09,2024-07-10,1111548,136,88.61,0.464,18,20,204398288920,0,,335.47,415.79,Delivered,Capacity,4.3,RT-9585,Jakarta-WH1,Palembang,Indonesia,74.2,18.3,Air,JNE,CR8205,On-Demand,88.59,1.53,Active,3,0,0,2000,8.45,1,6.0,5.0,1.0,1,7,3,3.785915810856563,0
49749657,7525689,2450642,2023-03-28,2023-03-29,2023-03-29,1098810,214,55.57,0.899,2,30,988350035595,0,,187.73,1847.26,Delivered,Traffic,3.2,RT-1943,Jakarta-WH2,Semarang,Indonesia,246.2,39.2,Truck,J&T,CR8062,Dedicated,20.0,3.343,Active,5,0,0,2000,4.29,1,1.0,1.0,0.0,0,3,1,3.3782616519704876,0
47636432,7397438,2226856,2022-06-27,2022-06-30,2022-07-01,1282376,290,18.52,0.474,15,20,829874028405,0,,142.7,725.65,In-Transit,None,,RT-6790,Bandung-WH,Jakarta,Indonesia,202.7,20.6,Truck,J&T,CR9446,Spot,535.52,3.4,Active,3,0,0,500,3.14,1,4.0,3.0,1.0,1,6,0,7.705183585313175,0
40230507,7022600,2354448,2024-12-05,2024-12-16,2024-12-18,1884722,81,36.75,0.654,15,8,442580752322,0,,795.3,2169.11,Delivered,None,,RT-1417,Jakarta-WH1,Bali,Indonesia,376.0,28.6,Courier,SiCepat,CR8420,On-Demand,229.92,0.202,Inactive,7,0,0,500,2.68,1,13.0,11.0,2.0,1,12,3,21.64081632653061,0
44859519,7937055,2323762,2022-08-20,2022-08-28,2022-09-01,1108368,187,81.24,3.533,10,20,547729765505,0,,20.0,407.84,Delivered,Weather,4.6,RT-8682,Bandung-WH,Medan,Indonesia,1280.2,7.5,Truck,Pos Indonesia,CR6681,Contracted,136.09,0.955,Active,5,1,0,2000,3.65,0,12.0,8.0,4.0,1,8,5,0.2461841457410143,0
49644951,7934741,2458174,2023-10-08,2023-10-21,2023-10-22,1476276,200,422.98,1.376,15,8,984034333258,0,,351.24,599.29,Delivered,Traffic,3.5,RT-2504,Jakarta-WH2,Bandung,Indonesia,139.6,49.6,Rail,DHL,CR3283,Dedicated,840.14,0.252,Inactive,3,1,0,1000,0.11,1,14.0,13.0,1.0,1,10,6,0.8303938720506879,0
41899110,7844974,2344321,2023-08-08,2023-08-10,2023-08-13,1939868,158,223.79,0.724,2,8,847262056580,0,,894.22,2311.0,Delivered,None,4.0,RT-5708,Jakarta-WH1,Semarang,Indonesia,141.8,27.2,Courier,Pos Indonesia,CR8059,On-Demand,345.35,0.895,Seasonal,5,0,0,2000,7.46,1,5.0,2.0,3.0,1,8,1,3.9957996335850576,0
45313578,7664605,2705487,2025-04-12,2025-04-15,2025-04-16,1786249,157,1048.27,0.673,15,30,593422409403,0,,431.93,4067.04,Delivered,None,2.8,RT-5625,Bandung-WH,Medan,Indonesia,654.2,17.8,Sea,SiCepat,CR4209,Contracted,118.83,3.282,Active,1,0,1,1000,1.99,1,4.0,3.0,1.0,1,4,5,0.41204079101758134,1
47755789,7058663,2832344,2024-05-23,2024-06-04,2024-06-06,1829524,146,135.24,0.434,15,8,389968190830,0,,193.96,240.51,Delivered,None,,RT-1141,Bandung-WH,Medan,Philippines,162.2,20.0,Truck,JNE,CR3667,Contracted,59.74,3.004,Active,1,0,0,1000,10.99,1,14.0,12.0,2.0,1,5,3,1.4341910677314404,0
44313854,7835317,2532893,2023-01-18,2023-01-31,2023-01-31,1350045,220,130.61,0.364,15,8,883342918946,0,,405.82,3430.15,In-Transit,None,1.7,RT-4356,Surabaya-WH,Bandung,Philippines,47.6,47.0,Air,Pos Indonesia,CR4038,Dedicated,361.1,2.286,Active,7,0,0,500,1.69,1,13.0,13.0,0.0,0,1,2,3.10711277850088,0
